,Name,Team,Age,Birth City,Birth Country,Birth Lat,Birth Lng,College,College Lat,College Lng,ID,WAR
900,Emilio Pagán,SD,28,"Simpsonville, SC",USA,34.7370639,-82.25428339999999,Belmont Abbey,,,641941,2.2800000000000002
851,Omar Narváez,MIL,28,Maracay,Venezuela,10.2441931,-67.60661640000001,,,,553882,2.28
935,Yusmeiro Petit,OAK,35,Maracaibo,Venezuela,10.642707,-71.6125366,,,,433589,2.27
1254,Spencer Turnbull,DET,27,"Demopolis, AL",USA,32.5176361,-87.83640199999999,Alabama,,,605513,2.2600000000000002
896,Adam Ottavino,NYY,34,"New York, NY",USA,40.7127753,-74.0059728,Northeastern,,,493603,2.26
1273,Christian Vázquez,BOS,29,Bayamon,Puerto Rico,18.389396,-66.1653224,,,,543877,2.25
1145,Will Smith,ATL,30,"Newnan, GA",USA,33.3806716,-84.79965729999999,Gulf Coast CC,,,519293,2.24
872,Iván Nova,DET,33,Palenque,Dominican Republic,18.261648,-70.147069,,,,467100,2.2399999999999998
480,Brian Goodwin,LAA,29,"Rocky Mount, NC",USA,35.9382103,-77.7905339,Miami Dade CC,,,571718,2.21
566,Enrique Hernández,LAD,28,San Juan,Puerto Rico,18.4655394,-66.1057355,,,,571771,2.18
988,Wilson Ramos,NYM,32,Valencia,Venezuela,10.1579312,-67.9972104,,,,467092,2.17
428,Giovanny Gallegos,STL,28,Obregon,Mexico,27.4827729,-109.930367,,,,606149,2.14
76,Harrison Bader,STL,25,"Bronxville, NY",USA,40.93815439999999,-73.8320784,Florida,,,664056,2.1
495,Shane Greene,ATL,31,"Clermont, FL",USA,28.5494447,-81.77285429999999,Daytona State,,,572888,2.08
130,Charlie Blackmon,COL,33,"Dallas, TX",USA,32.7766642,-96.79698789999999,Georgia Tech,,,453568,2.08
235,Yonny Chirinos,TB,26,Bachaquero,Venezuela,9.9648655,-71.13296849999999,,,,630023,2.07
1100,Kyle Schwarber,CHC,27,"Middletown, OH",USA,39.5150576,-84.39827629999999,Indiana,,,656941,2.06
436,Avisaíl García,MIL,28,Anzoategui,Venezuela,8.5913073,-63.95861110000001,,,,541645,2.05
1023,Tanner Roark,TOR,33,"Wilmington, IL",USA,41.3078093,-88.1467243,Illinois,,,543699,2.04
2,José Abreu,CWS,33,Cienfuegos,Cuba,22.1599753,-80.4437781,,,,547989,2.04
236,Ji-Man Choi,TB,28,Incheon,South Korea,37.4562557,126.7052062,,,,596847,2.02
411,Adam Frazier,PIT,28,"Athens, GA",USA,33.9519347,-83.357567,Mississippi State,,,624428,2.01
