,Unnamed: 0,Name,Age,Birth City,Birth Country,Birth Lat,Birth Lng,College,College Lat,College Lng,Height (in),Ability Score
104,104,Vince Carter,43,"Daytona Beach, FL",USA,,,University of North Carolina,35.9049122,-79.0469134,"6'6""",11.9
106,106,Michael Carter-Williams,28,"Hamilton, MA",USA,,,Syracuse University,43.0391534,-76.1351158,"6'5""",7.399999999999999
107,107,Michael Carter-Williams,28,"Hamilton, MA",USA,,,Syracuse University,43.0391534,-76.1351158,"6'5""",16.0
108,108,Alex Caruso,26,"College Station, TX",USA,,,Texas A&M University,30.6187558,-96.33647719999999,"6'5""",16.4
110,110,Willie Cauley-Stein,26,"Spearville, KS",USA,,,University of Kentucky,38.0306511,-84.5039697,"7'0""",24.5
112,112,Tyler Cavanaugh,26,"Syracuse, NY",USA,,,George Washington University,38.8997145,-77.0485992,"6'9""",1.6
115,115,Wilson Chandler,32,"Benton Harbor, MI",USA,,,DePaul University,41.9247559,-87.6566465,"6'8""",14.4
116,116,Wilson Chandler,32,"Benton Harbor, MI",USA,,,DePaul University,41.9247559,-87.6566465,"6'8""",8.499999999999998
119,119,Marquese Chriss,22,"Sacramento, CA",USA,,,University of Washington,47.6912794,-122.3176141,"6'9""",4.3
120,120,Marquese Chriss,22,"Sacramento, CA",USA,,,University of Washington,47.6912794,-122.3176141,"6'9""",11.4
122,122,Ian Clark,29,"Memphis, TN",USA,,,Belmont University,36.1329081,-86.7941702,"6'3""",10.3
123,123,Jordan Clarkson,27,"Tampa, FL",USA,,,University of Missouri,38.9403808,-92.32773750000001,"6'4""",23.4
124,124,John Collins,22,"Layton, UT",USA,,,Wake Forest University,36.1355052,-80.2791958,"6'9""",32.3
125,125,Zach Collins,22,"Las Vegas, NV",USA,,,Gonzaga University,47.66703210000001,-117.4014343,"6'11""",12.900000000000002
126,126,Darren Collison,32,"Rancho Cucamonga, CA",USA,,,"University of California, Los Angeles",34.068921,-118.4451811,"6'2""",21.8
128,128,Mike Conley,32,"Fayetteville, AR",USA,,,Ohio State University,40.0068363,-83.0306222,"6'1""",32.49999999999999
129,129,Pat Connaughton,27,"Arlington, MA",USA,,,University of Notre Dame,41.7055716,-86.2353388,"6'5""",14.000000000000002
130,130,Quinn Cook,27,"Washington, DC",USA,,,Duke University,36.0014258,-78.9382286,"6'1""",10.8
131,131,DeMarcus Cousins,29,"Mobile, AL",USA,,,University of Kentucky,38.0306511,-84.5039697,"6'10""",29.9
132,132,Robert Covington,29,"Bellwood, IL",USA,,,Tennessee State University,36.1668224,-86.8275815,"6'7""",21.200000000000006
133,133,Robert Covington,29,"Bellwood, IL",USA,,,Tennessee State University,36.1668224,-86.8275815,"6'7""",25.0
134,134,Allen Crabbe,28,"Los Angeles, CA",USA,,,University of California,37.8718992,-122.2585399,"6'5""",14.9
135,135,Torrey Craig,29,"Columbia, SC",USA,,,University of South Carolina Upstate,34.9996102,-81.9711555,"6'7""",11.3
136,136,Jamal Crawford,40,"Seattle, WA",USA,,,University of Michigan,42.2780436,-83.7382241,"6'5""",13.5
139,139,Jae Crowder,29,"Villa Rica, GA",USA,,,Marquette University,43.0388337,-87.92856669999999,"6'6""",19.6
140,140,Dante Cunningham,32,"Clinton, MD",USA,,,Villanova University,40.0378952,-75.34333149999999,"6'8""",7.300000000000002
141,141,Seth Curry,29,"Charlotte, NC",USA,,,Duke University,36.0014258,-78.9382286,"6'2""",11.1
142,142,Stephen Curry,32,"Akron, OH",USA,,,Davidson College,35.5008018,-80.8446725,"6'3""",39.5
143,143,Troy Daniels,28,"Roanoke, VA",USA,,,Virginia Commonwealth University,37.5483122,-77.4526805,"6'4""",8.7
144,144,Anthony Davis,27,"Chicago, IL",USA,,,University of Kentucky,38.0306511,-84.5039697,"6'10""",45.8
145,145,Deyonta Davis,23,"Muskegon, MI",USA,,,Michigan State University,42.701848,-84.4821719,"6'9""",9.5
146,146,Ed Davis,30,"Washington, DC",USA,,,University of North Carolina,35.9049122,-79.0469134,"6'9""",16.0
148,148,Dewayne Dedmon,30,"Lancaster, CA",USA,,,University of Southern California,34.0223519,-118.285117,"7'0""",21.9
149,149,Sam Dekker,25,"Sheboygan, WI",USA,,,University of Wisconsin,43.076592,-89.4124875,"6'9""",12.2
150,150,Sam Dekker,25,"Sheboygan, WI",USA,,,University of Wisconsin,43.076592,-89.4124875,"6'9""",10.999999999999998
152,152,Matthew Dellavedova,29,Maryborough,Australia,,,Saint Mary's College of California,37.8413472,-122.1101354,"6'3""",5.1000000000000005
153,153,Matthew Dellavedova,29,Maryborough,Australia,,,Saint Mary's College of California,37.8413472,-122.1101354,"6'3""",13.8
154,154,Luol Deng,34,Wow,South Sudan,,,Duke University,36.0014258,-78.9382286,"6'9""",12.3
155,155,DeMar DeRozan,30,"Compton, CA",USA,,,University of Southern California,34.0223519,-118.285117,"6'6""",35.0
157,157,Cheick Diallo,23,Kayes,Mali,,,University of Kansas,38.9543439,-95.2557961,"6'8""",12.7
159,159,Gorgui Dieng,30,Kebemer,Senegal,,,University of Louisville,38.2122761,-85.75850229999999,"6'10""",12.5
160,160,Spencer Dinwiddie,27,"Los Angeles, CA",USA,,,University of Colorado,40.00758099999999,-105.2659417,"6'5""",24.6
