,Name,Age,Birth City,Birth Country,Birth Lat,Birth Lng,College,College Lat,College Lng,Height (in),Points/Game,Assists/Game,Steals/Game,Rebounds/Game,Blocks/Game,Ability Score
418,Greg Monroe,29,"New Orleans, LA",USA,,,Georgetown University,,,"6'11""",13.7,2.3,0.3,4.3,0.0,20.6
419,E'Twaun Moore,31,"East Chicago, IN",USA,,,Purdue University,,,"6'3""",11.9,1.9,0.8,2.4,0.2,17.2
420,Eric Moreland,28,"Houston, TX",USA,,,Oregon State University,,,"6'10""",0.0,0.0,0.0,3.0,0.0,3.0
421,Eric Moreland,28,"Houston, TX",USA,,,Oregon State University,,,"6'10""",1.8,1.0,0.2,4.2,0.2,7.4
422,Jaylen Morris,24,"Amherst, NY",USA,,,,,,"6'2""",2.5,1.0,0.5,1.2,0.0,5.2
423,Markieff Morris,30,"Philadelphia, PA",USA,,,University of Kansas,,,"6'8""",11.5,1.8,0.7,5.1,0.6,19.700000000000003
424,Markieff Morris,30,"Philadelphia, PA",USA,,,University of Kansas,,,"6'8""",6.5,0.8,0.5,3.8,0.1,11.700000000000001
425,Monte Morris,24,"Grand Rapids, MI",USA,,,Iowa State University,,,"6'2""",10.4,3.6,0.9,2.4,0.0,17.3
426,Marcus Morris Sr.,30,"Philadelphia, PA",USA,,,University of Kansas,,,"6'8""",13.9,1.5,0.6,6.1,0.3,22.400000000000002
427,Donatas Motiejunas,29,Kaunas,Lithuania,,,,,,"7'0""",2.0,0.3,0.0,1.0,0.3,3.5999999999999996
428,Johnathan Motley,24,"Houston, TX",USA,,,Baylor University,,,"6'8""",4.6,0.5,0.2,2.3,0.1,7.699999999999999
429,Emmanuel Mudiay,24,Kinshasa,Democratic Republic of the Congo,,,,,,"6'3""",14.8,3.9,0.7,3.3,0.3,23.0
430,Jamal Murray,23,Kitchener,Canada,,,University of Kentucky,,,"6'4""",18.2,4.8,0.9,4.2,0.4,28.499999999999996
431,Dzanan Musa,20,Bihać,Bosnia,,,,,,"6'9""",2.1,0.2,0.2,0.6,0.0,3.1000000000000005
432,Mike Muscala,28,"St. Louis Park, MN",USA,,,Bucknell University,,,"6'10""",7.4,1.3,0.4,4.3,0.6,14.0
433,Mike Muscala,28,"St. Louis Park, MN",USA,,,Bucknell University,,,"6'10""",5.9,0.8,0.2,2.6,0.7,10.2
434,Svi Mykhailiuk,22,Cherkasy,Ukraine,,,,,,"6'7""",3.3,0.8,0.3,0.8,0.0,5.199999999999999
435,Svi Mykhailiuk,22,Cherkasy,Ukraine,,,,,,"6'7""",2.0,1.3,0.3,0.7,0.0,4.3
436,Abdel Nader,26,Alexandria,Egypt,,,Iowa State University,,,"6'5""",4.0,0.3,0.3,1.9,0.2,6.7
437,Larry Nance Jr.,27,"Akron, OH",USA,,,University of Wyoming,,,"6'7""",9.4,3.2,1.5,8.2,0.6,22.900000000000002
438,Shabazz Napier,28,"Roxbury, MA",USA,,,University of Connecticut,,,"6'0""",9.4,2.6,0.8,1.8,0.3,14.900000000000002
439,Raul Neto,27,Belo Horizonte,Brazil,,,,,,"6'1""",5.3,2.5,0.4,1.7,0.1,10.0
440,Georges Niang,26,"Lawrence, MA",USA,,,Iowa State University,,,"6'7""",4.0,0.6,0.2,1.5,0.1,6.3999999999999995
441,Joakim Noah,35,"New York, NY",USA,,,University of Florida,,,"6'11""",7.1,2.1,0.5,5.7,0.7,16.1
442,Nerlens Noel,26,"Malden, MA",USA,,,University of Kentucky,,,"6'10""",4.9,0.6,0.9,4.2,1.2,11.8
443,Dirk Nowitzki,41,Wurzburg,Germany,,,,,,"7'0""",7.3,0.7,0.2,3.1,0.4,11.7
444,Frank Ntilikina,21,Ixelles,France,,,,,,"6'4""",5.7,2.8,0.7,2.0,0.3,11.5
445,James Nunnally,29,"San Jose, CA",USA,,,,,,"6'7""",2.1,0.4,0.1,0.3,0.0,2.9
446,James Nunnally,29,"San Jose, CA",USA,,,,,,"6'7""",4.5,1.0,0.0,0.5,0.0,6.0
447,Jusuf Nurkic,25,Tuzla,Bosnia and Herzegovina,,,,,,"7'0""",15.6,3.2,1.0,10.4,1.4,31.599999999999998
448,David Nwaba,27,"Los Angeles, CA",USA,,,"California Polytechnic State University, San Luis Obispo",,,"6'4""",6.5,1.1,0.7,3.2,0.3,11.799999999999999
449,Semi Ojeleye,25,"Overland Park, KS",USA,,,Southern Methodist University,,,"6'6""",3.3,0.4,0.2,1.5,0.1,5.5
450,Jahlil Okafor,24,"Chicago, IL",USA,,,Duke University,,,"6'10""",8.2,0.7,0.3,4.7,0.7,14.599999999999998
451,Elie Okobo,22,Bordeaux,France,,,,,,"6'3""",5.7,2.4,0.6,1.9,0.1,10.7
452,Josh Okogie,21,Lagos,Nigeria,,,,,,"6'4""",7.7,1.2,1.2,2.9,0.4,13.399999999999999
453,Victor Oladipo,27,"Silver Spring, MD",USA,,,Indiana University,,,"6'4""",18.8,5.2,1.7,5.6,0.3,31.599999999999998
454,Kelly Olynyk,28,Toronto,Canada,,,Gonzaga University,,,"6'11""",10.0,1.8,0.7,4.7,0.5,17.7
455,Royce O'Neale,26,"Killeen, TX",USA,,,Baylor University,,,"6'4""",5.2,1.5,0.7,3.5,0.3,11.2
456,Kyle O'Quinn,30,"Flushing, NY",USA,,,Norfolk State University,,,"6'9""",3.5,1.2,0.2,2.6,0.6,8.1
457,Cedi Osman,25,Ohrid,Turkey,,,,,,"6'7""",13.0,2.6,0.8,4.7,0.1,21.200000000000003
458,Kelly Oubre Jr.,24,"New Orleans, LA",USA,,,University of Kansas,,,"6'7""",12.9,0.7,0.9,4.4,0.7,19.599999999999998
459,Kelly Oubre Jr.,24,"New Orleans, LA",USA,,,University of Kansas,,,"6'7""",16.8,1.6,1.4,4.9,1.0,25.700000000000003
460,Zaza Pachulia,36,Tbilisi,Georgia,,,,,,"6'11""",3.9,1.3,0.5,3.9,0.2,9.799999999999999
461,Jabari Parker,25,"Chicago, IL",USA,,,Duke University,,,"6'8""",14.3,2.2,0.6,6.2,0.4,23.7
462,Jabari Parker,25,"Chicago, IL",USA,,,Duke University,,,"6'8""",15.0,2.7,0.9,7.2,0.6,26.4
463,Tony Parker,37,Bruges,Belgium,,,,,,"6'2""",9.5,3.7,0.4,1.5,0.1,15.2
464,Chandler Parsons,31,"Casselberry, FL",USA,,,University of Florida,,,"6'9""",7.5,1.7,0.8,2.8,0.2,13.0
465,Patrick Patterson,31,"Washington, DC",USA,,,University of Kentucky,,,"6'8""",3.6,0.5,0.3,2.3,0.2,6.9
466,Justin Patton,22,"Riverdale, GA",USA,,,Creighton University,,,"6'11""",1.7,1.0,0.7,2.0,0.0,5.4
467,Chris Paul,34,"Winston-Salem, NC",USA,,,Wake Forest University,,,"6'1""",15.4,8.0,1.9,4.5,0.3,30.099999999999998
468,Cameron Payne,25,"Memphis, TN",USA,,,Murray State University,,,"6'3""",5.7,2.7,0.6,1.7,0.2,10.9
469,Cameron Payne,25,"Memphis, TN",USA,,,Murray State University,,,"6'3""",8.2,2.6,0.9,2.1,0.3,14.1
470,Elfrid Payton,26,"Gretna, LA",USA,,,University of Louisiana at Lafayette,,,"6'3""",10.6,7.6,1.0,5.2,0.4,24.799999999999997
471,Gary Payton II,27,"Seattle, WA",USA,,,Oregon State University,,,"6'3""",3.7,1.3,1.0,0.7,0.3,7.0
472,Theo Pinson,24,"Greensboro, NC",USA,,,,,,"6'5""",4.5,1.2,0.3,2.0,0.0,8.0
473,Mason Plumlee,30,"Fort Wayne, IN",USA,,,Duke University,,,"6'11""",7.8,3.0,0.8,6.4,0.9,18.9
474,Miles Plumlee,31,"Fort Wayne, IN",USA,,,Duke University,,,"6'11""",4.4,0.9,0.3,2.2,0.2,8.0
475,Jakob Poeltl,24,Vienna,Austria,,,University of Utah,,,"7'1""",5.5,1.2,0.4,5.3,0.9,13.3
476,Quincy Pondexter,32,"Fresno, CA",USA,,,University of Washington,,,"6'7""",1.8,0.5,0.2,0.9,0.0,3.4000000000000004
477,Otto Porter Jr.,26,"St. Louis, MO",USA,,,Georgetown University,,,"6'8""",12.6,2.0,1.6,5.7,0.5,22.400000000000002
478,Otto Porter Jr.,26,"St. Louis, MO",USA,,,Georgetown University,,,"6'8""",17.5,2.7,1.2,5.5,0.6,27.5
479,Bobby Portis,25,"Little Rock, AR",USA,,,University of Arkansas,,,"6'10""",14.1,1.3,0.5,7.3,0.4,23.599999999999998
480,Bobby Portis,25,"Little Rock, AR",USA,,,University of Arkansas,,,"6'10""",14.3,1.5,0.9,8.6,0.5,25.799999999999997
481,Dwight Powell,28,Toronto,Canada,,,Stanford University,,,"6'10""",10.6,1.5,0.6,5.3,0.7,18.7
482,Norman Powell,26,"San Diego, CA",USA,,,"University of California, Los Angeles",,,"6'3""",8.6,1.5,0.6,2.3,0.2,13.199999999999998
483,Alex Poythress,26,"Savannah, GA",USA,,,University of Kentucky,,,"6'9""",5.1,0.8,0.2,3.6,0.5,10.2
484,Taurean Prince,26,"San Marcos, TX",USA,,,Baylor University,,,"6'7""",13.5,2.1,1.0,3.6,0.3,20.500000000000004
485,Ivan Rabb,23,"Sacramento, CA",USA,,,University of California,,,"6'10""",5.8,1.1,0.3,4.2,0.3,11.700000000000001
486,Chasson Randle,27,"Rock Island, IL",USA,,,Stanford University,,,"6'2""",5.5,2.0,0.5,1.1,0.1,9.2
487,Julius Randle,25,"Dallas, TX",USA,,,University of Kentucky,,,"6'8""",21.4,3.1,0.7,8.7,0.6,34.5
488,JJ Redick,35,"Cookeville, TN",USA,,,Duke University,,,"6'3""",18.1,2.7,0.4,2.4,0.2,23.799999999999997
489,Davon Reed,24,"Princeton, NJ",USA,,,University of Miami,,,"6'5""",1.2,0.3,0.1,0.6,0.0,2.1999999999999997
490,Cameron Reynolds,25,,,,,,,,"6'7""",5.0,0.7,0.3,1.6,0.1,7.699999999999999
491,Josh Richardson,26,"Edmond, OK",USA,,,University of Tennessee,,,"6'5""",16.6,4.1,1.1,3.6,0.5,25.900000000000006
492,Malachi Richardson,24,"Trenton, NJ",USA,,,Syracuse University,,,"6'6""",1.4,0.0,0.0,0.6,0.0,2.0
493,Austin Rivers,27,"Santa Monica, CA",USA,,,Duke University,,,"6'3""",7.2,2.0,0.6,2.4,0.3,12.5
494,Austin Rivers,27,"Santa Monica, CA",USA,,,Duke University,,,"6'3""",8.7,2.3,0.6,1.9,0.3,13.799999999999999
495,Devin Robinson,25,"Christchurch, VA",USA,,,University of Florida,,,"6'7""",6.7,0.9,0.6,2.9,0.9,12.0
496,Duncan Robinson,25,"York, MA",USA,,,,,,"6'7""",3.3,0.3,0.3,1.3,0.0,5.199999999999999
497,Jerome Robinson,23,"Raleigh, NC",USA,,,,,,"6'4""",3.4,0.6,0.3,1.2,0.1,5.599999999999999
498,Mitchell Robinson,22,"Pensacola, FL",USA,,,,,,"7'0""",7.3,0.6,0.8,6.4,2.4,17.5
499,Glenn Robinson III,26,"Gary, IN",USA,,,University of Michigan,,,"6'6""",4.2,0.4,0.3,1.5,0.2,6.6000000000000005
500,Rajon Rondo,34,"Louisville, KY",USA,,,University of Kentucky,,,"6'1""",9.2,8.0,1.2,5.3,0.2,23.9
501,Derrick Rose,31,"Chicago, IL",USA,,,University of Memphis,,,"6'2""",18.0,4.3,0.6,2.7,0.2,25.8
502,Terrence Ross,29,"Portland, OR",USA,,,University of Washington,,,"6'6""",15.1,1.7,0.9,3.5,0.4,21.599999999999998
503,Terry Rozier,26,"Youngstown, OH",USA,,,University of Louisville,,,"6'1""",9.0,2.9,0.9,3.9,0.3,17.0
504,Ricky Rubio,29,Barcelona,Spain,,,,,,"6'3""",12.7,6.1,1.4,3.6,0.1,23.9
505,D'Angelo Russell,24,"Louisville, KY",USA,,,Ohio State University,,,"6'4""",21.1,7.0,1.2,3.9,0.2,33.400000000000006
506,Domantas Sabonis,23,"Portland, OR",Lithuania,,,Gonzaga University,,,"6'11""",14.1,2.9,0.7,9.4,0.4,27.499999999999996
507,Brandon Sampson,22,"Baton Rouge, LA",USA,,,,,,"6'5""",5.1,0.7,0.6,1.1,0.2,7.699999999999999
508,JaKarr Sampson,27,"Cleveland, OH",USA,,,St. John's University,,,"6'7""",20.0,1.0,1.0,8.0,0.8,30.8
509,Dario Saric,26,Sibenik,Croatia,,,,,,"6'10""",11.1,2.0,0.3,6.7,0.2,20.3
510,Dario Saric,26,Sibenik,Croatia,,,,,,"6'10""",10.5,1.5,0.6,5.4,0.1,18.1
511,Tomas Satoransky,28,Prague,Czech Republic,,,,,,"6'7""",8.9,5.0,1.0,3.5,0.2,18.599999999999998
512,Dennis Schroder,26,Braunschweig,Germany,,,,,,"6'1""",15.5,4.1,0.8,3.6,0.2,24.200000000000003
513,Mike Scott,31,"Chesapeake, VA",USA,,,Virginia,,,"6'7""",4.8,0.8,0.3,3.3,0.2,9.4
514,Mike Scott,31,"Chesapeake, VA",USA,,,Virginia,,,"6'7""",7.8,0.8,0.3,3.8,0.2,12.9
515,Thabo Sefolosha,35,Vevey,Switzerland,,,,,,"6'6""",3.8,0.5,0.9,2.5,0.1,7.8
516,Wayne Selden,25,"Roxbury, MA",USA,,,University of Kansas,,,"6'5""",5.4,1.1,0.3,1.4,0.2,8.4
517,Wayne Selden,25,"Roxbury, MA",USA,,,University of Kansas,,,"6'5""",8.0,1.7,0.5,3.2,0.2,13.599999999999998
518,Collin Sexton,21,"Marietta, GA",USA,,,,,,"6'1""",16.7,3.0,0.5,2.9,0.1,23.2
519,Landry Shamet,23,"Kansas City, MI",USA,,,,,,"6'4""",8.3,1.1,0.4,1.4,0.1,11.3
520,Landry Shamet,23,"Kansas City, MI",USA,,,,,,"6'4""",10.9,2.3,0.5,2.2,0.1,16.000000000000004
521,Iman Shumpert,29,"Oak Park, IL",USA,,,Georgia Institute of Technology,,,"6'5""",8.9,2.2,1.1,3.1,0.5,15.799999999999999
522,Iman Shumpert,29,"Oak Park, IL",USA,,,Georgia Institute of Technology,,,"6'5""",4.6,1.0,0.6,2.7,0.2,9.1
523,Pascal Siakam,26,Douala,Cameroon,,,New Mexico State University,,,"6'9""",16.9,3.1,0.9,6.9,0.6,28.4
524,Jordan Sibert,27,"Cincinnati, OH",USA,,,,,,"6'4""",3.0,0.0,0.0,0.0,0.0,3.0
525,Ben Simmons,23,Fitzroy,Australia,,,Louisiana State University,,,"6'10""",16.9,7.7,1.4,8.8,0.8,35.599999999999994
526,Jonathon Simmons,30,"Houston, TX",USA,,,University of Houston,,,"6'6""",6.9,2.3,0.4,2.5,0.3,12.4
527,Jonathon Simmons,30,"Houston, TX",USA,,,University of Houston,,,"6'6""",5.5,2.2,0.7,1.7,0.1,10.2
528,Kobi Simmons,22,"Atlanta, GA",USA,,,University of Arizona,,,"6'5""",0.0,0.0,0.0,0.0,0.0,0.0
529,Anfernee Simons,20,"Altamonte Springs, FL",USA,,,,,,"6'3""",3.8,0.6,0.0,0.6,0.0,4.999999999999999
530,Marcus Smart,26,"Flower Mound, TX",USA,,,Oklahoma State University,,,"6'3""",8.8,4.0,1.8,2.9,0.4,17.9
531,Ish Smith,31,"Charlotte, NC",USA,,,Wake Forest University,,,"6'0""",8.9,3.6,0.5,2.6,0.2,15.799999999999999
532,Jason Smith,34,"Greeley, CO",USA,,,Colorado State University,,,"7'0""",3.7,1.0,0.1,3.1,0.4,8.3
533,Jason Smith,34,"Greeley, CO",USA,,,Colorado State University,,,"7'0""",2.2,0.2,0.3,1.8,0.3,4.8
534,Jason Smith,34,"Greeley, CO",USA,,,Colorado State University,,,"7'0""",4.0,0.5,0.0,2.0,0.0,6.5
535,J.R. Smith,34,"Freehold, NJ",USA,,,,,,"6'6""",6.7,1.9,1.0,1.6,0.3,11.500000000000002
536,Zhaire Smith,20,"Garland, TX",USA,,,,,,"6'3""",6.7,1.7,0.3,2.2,0.3,11.200000000000001
537,Dennis Smith Jr.,22,"Fayetteville, NC",USA,,,North Carolina State University,,,"6'2""",12.9,4.3,1.2,3.0,0.3,21.7
538,Dennis Smith Jr.,22,"Fayetteville, NC",USA,,,North Carolina State University,,,"6'2""",14.7,5.4,1.3,2.8,0.4,24.599999999999998
539,Tony Snell,28,"Riverside, CA",USA,,,University of New Mexico,,,"6'6""",6.0,0.9,0.4,2.1,0.2,9.6
540,Ray Spalding,23,"Louisville, KY",USA,,,,,,"6'9""",0.0,0.0,0.0,0.0,0.0,0.0
541,Ray Spalding,23,"Louisville, KY",USA,,,,,,"6'9""",4.2,0.4,0.7,3.7,0.6,9.6
542,Omari Spellman,22,"Cleveland, OH",USA,,,,,,"6'8""",5.9,1.0,0.5,4.2,0.6,12.200000000000001
543,Nik Stauskas,26,Mississauga,Canada,,,University of Michigan,,,"6'6""",6.1,1.4,0.3,1.8,0.1,9.7
544,Nik Stauskas,26,Mississauga,Canada,,,University of Michigan,,,"6'6""",5.5,0.8,0.3,2.0,0.1,8.700000000000001
545,D.J. Stephens,29,Frankfurt,Germany,,,,,,"6'5""",2.0,0.0,1.0,0.0,0.0,3.0
546,Lance Stephenson,29,"Brooklyn, NY",USA,,,University of Cincinnati,,,"6'6""",7.2,2.1,0.6,3.2,0.1,13.2
547,Edmond Sumner,24,"Detroit, MI",USA,,,Xavier University,,,"6'4""",2.9,0.4,0.5,1.0,0.2,5.0
548,Caleb Swanigan,23,"Indianapolis, IN",USA,,,Purdue University,,,"6'9""",1.9,0.4,0.2,2.9,0.0,5.4
549,Caleb Swanigan,23,"Indianapolis, IN",USA,,,Purdue University,,,"6'9""",2.7,1.3,0.7,4.0,0.3,9.0
550,Jayson Tatum,22,"St. Louis, MO",USA,,,Duke University,,,"6'8""",15.7,2.1,1.1,6.0,0.7,25.6
551,Jeff Teague,31,"Indianapolis, IN",USA,,,Wake Forest University,,,"6'3""",12.1,8.2,1.0,2.5,0.4,24.199999999999996
552,Garrett Temple,33,"Baton Rouge, LA",USA,,,Louisiana State University,,,"6'5""",9.4,1.4,1.0,3.1,0.5,15.4
553,Garrett Temple,33,"Baton Rouge, LA",USA,,,Louisiana State University,,,"6'5""",4.7,1.4,1.0,2.5,0.2,9.799999999999999
554,Milos Teodosic,33,Valjevo,Serbia,,,,,,"6'5""",3.2,2.1,0.2,1.0,0.1,6.6000000000000005
555,Jared Terrell,25,"Weymouth, MA",USA,,,,,,"6'3""",2.2,0.9,0.2,0.4,0.1,3.8000000000000003
556,Emanuel Terry,24,"Birmingham, IL",USA,,,,,,"6'9""",4.5,0.5,1.5,3.0,0.0,9.5
557,Emanuel Terry,24,"Birmingham, IL",USA,,,,,,"6'9""",1.0,1.0,0.0,1.0,0.0,3.0
558,Daniel Theis,28,Salzgitter,Germany,,,,,,"6'8""",5.7,1.0,0.3,3.4,0.6,11.0
559,Isaiah Thomas,31,"Tacoma, WA",USA,,,University of Washington,,,"5'9""",8.1,1.9,0.5,1.1,0.1,11.7
560,Khyri Thomas,23,"Cupertino, CA",USA,,,,,,"6'3""",2.3,0.3,0.3,0.8,0.2,3.8999999999999995
561,Lance Thomas,31,"Brooklyn, NY",USA,,,Duke University,,,"6'8""",4.5,0.6,0.4,2.5,0.2,8.2
562,Klay Thompson,30,"Los Angeles, CA",USA,,,Washington State University,,,"6'6""",21.5,2.4,1.1,3.9,0.6,29.5
563,Tristan Thompson,29,Toronto,Canada,,,University of Texas at Austin,,,"6'9""",10.9,2.0,0.6,10.2,0.4,24.1
564,Sindarius Thornwell,25,"Lancaster, SC",USA,,,University of South Carolina,,,"6'4""",1.0,0.3,0.2,0.7,0.1,2.3000000000000003
565,Anthony Tolliver,34,"Springfield, MO",USA,,,Creighton University,,,"6'8""",5.0,0.7,0.3,2.7,0.3,9.000000000000002
566,Karl-Anthony Towns,24,"Edison, NJ",USA,,,University of Kentucky,,,"6'11""",24.4,3.4,0.9,12.4,1.6,42.699999999999996
567,Gary Trent Jr.,21,,,,,,,,"6'5""",2.7,0.3,0.1,0.7,0.1,3.9000000000000004
568,Allonzo Trier,24,"Seatle, WS",USA,,,,,,"6'4""",10.9,1.9,0.4,3.1,0.2,16.5
569,P.J. Tucker,34,"Raleigh, NC",USA,,,University of Texas at Austin,,,"6'5""",7.3,1.2,1.6,5.8,0.5,16.4
570,Evan Turner,31,"Chicago, IL",USA,,,Ohio State University,,,"6'6""",6.8,3.9,0.5,4.5,0.2,15.9
571,Myles Turner,24,"Bedford, TX",USA,,,University of Texas at Austin,,,"6'11""",13.3,1.6,0.8,7.2,2.7,25.6
572,Ekpe Udoh,32,"Edmond, OK",USA,,,Baylor University,,,"6'10""",2.3,0.5,0.2,1.8,0.6,5.3999999999999995
573,Tyler Ulis,24,"Detroit, MI",USA,,,University of Kentucky,,,"5'10""",0.0,0.0,0.0,0.0,0.0,0.0
574,Jonas Valanciunas,27,Utena,Lithuania,,,,,,"6'11""",12.8,1.0,0.4,7.2,0.8,22.2
575,Jonas Valanciunas,27,Utena,Lithuania,,,,,,"6'11""",19.9,2.2,0.3,10.7,1.6,34.699999999999996
576,Jarred Vanderbilt,21,"Houston, TX",USA,,,,,,"6'9""",1.4,0.2,0.4,1.4,0.1,3.5
577,Fred VanVleet,26,"Rockford, IL",USA,,,Wichita State University,,,"6'1""",11.0,4.8,0.9,2.6,0.3,19.599999999999998
578,Noah Vonleh,24,"Haverhill, MA",USA,,,Indiana University,,,"6'10""",8.4,1.9,0.7,7.8,0.8,19.599999999999998
579,Nikola Vucevic,29,Morges,Montenegro,,,University of Southern California,,,"6'11""",20.8,3.8,1.0,12.0,1.1,38.699999999999996
580,Dwyane Wade,38,"Chicago, IL",USA,,,Marquette University,,,"6'4""",15.0,4.2,0.8,4.0,0.5,24.5
581,Moritz Wagner,22,Berlin,Germany,,,,,,"6'11""",4.8,0.6,0.2,2.0,0.3,7.8999999999999995
582,Dion Waiters,28,"Philadelphia, PA",USA,,,Syracuse University,,,"6'3""",12.0,2.8,0.7,2.7,0.2,18.4
583,Kemba Walker,29,"Bronx, NY",USA,,,University of Connecticut,,,"6'0""",25.6,5.9,1.2,4.4,0.4,37.5
584,Lonnie Walker IV,21,"Reading, PA",USA,,,,,,"6'5""",2.6,0.5,0.4,1.0,0.1,4.6
585,John Wall,29,"Raleigh, NC",USA,,,University of Kentucky,,,"6'4""",20.7,8.7,1.5,3.6,0.9,35.4
586,Tyrone Wallace,25,"Bakersfield, CA",USA,,,University of California,,,"6'5""",3.5,0.7,0.3,1.6,0.1,6.199999999999999
587,Brad Wanamaker,30,"Philadelphia, PA",USA,,,,,,"6'3""",3.9,1.6,0.3,1.1,0.1,6.999999999999999
588,T.J. Warren,26,"Durham, NC",USA,,,North Carolina State University,,,"6'8""",18.0,1.5,1.2,4.0,0.7,25.4
589,Julian Washburn,28,,,,,,,,"6'8""",2.2,0.8,0.7,2.3,0.1,6.1
590,Yuta Watanabe,25,Miki,Japan,,,,,,"6'8""",2.6,0.5,0.3,2.1,0.1,5.6
591,Thomas Welsh,24,"Torrance, CA",USA,,,,,,"7'0""",1.6,0.5,0.0,0.4,0.0,2.5
592,Russell Westbrook,31,"Long Beach, CA",USA,,,"University of California, Los Angeles",,,"6'3""",22.9,10.7,1.9,11.1,0.5,47.1
593,Derrick White,25,"Parker, CO",USA,,,University of Colorado,,,"6'4""",9.9,3.9,1.0,3.7,0.7,19.2
594,Okaro White,27,"Clearwater, FL",USA,,,Florida State University,,,"6'8""",0.0,0.0,0.0,0.7,0.0,0.7
595,Hassan Whiteside,30,"Gastonia, NC",USA,,,Marshall University,,,"7'0""",12.3,0.8,0.6,11.4,1.9,27.000000000000004
596,Andrew Wiggins,25,Toronto,Canada,,,University of Kansas,,,"6'7""",18.1,2.5,1.0,4.8,0.7,27.1
597,Alan Williams,27,"Phoenix, AZ",USA,,,"University of California, Santa Barbara",,,"6'8""",3.6,0.6,0.2,3.8,0.0,8.2
598,C.J. Williams,30,"Fayetteville, NC",USA,,,North Carolina State University,,,"6'5""",2.6,0.8,0.4,0.5,0.0,4.300000000000001
599,Johnathan Williams,24,"Memphis, TN",USA,,,,,,"6'9""",6.5,0.5,0.3,4.1,0.3,11.700000000000001
600,Kenrich Williams,25,,,,,,,,"6'6""",6.1,1.8,1.0,4.8,0.4,14.1
601,Lou Williams,33,"Memphis, TN",USA,,,,,,"6'1""",20.0,5.3,0.7,3.0,0.1,29.1
602,Marvin Williams,33,"Bremerton, WA",USA,,,University of North Carolina,,,"6'8""",10.1,1.2,0.9,5.4,0.8,18.4
603,Troy Williams,25,"Hampton, VA",USA,,,Indiana University,,,"6'7""",5.3,0.5,0.5,2.8,0.4,9.5
604,Robert Williams III,22,"Shreveport, LA",USA,,,,,,"6'8""",2.5,0.2,0.3,2.5,1.2,6.7
605,D.J. Wilson,24,"Mt. Shasta, CA",USA,,,University of Michigan,,,"6'10""",5.8,1.1,0.4,4.6,0.4,12.299999999999999
606,Justise Winslow,24,"Houston, TX",USA,,,Duke University,,,"6'6""",12.6,4.3,1.1,5.4,0.3,23.700000000000003
607,Christian Wood,24,"Long Beach, CA",USA,,,"University of Nevada, Las Vegas",,,"6'10""",2.8,0.2,0.0,1.5,0.0,4.5
608,Christian Wood,24,"Long Beach, CA",USA,,,"University of Nevada, Las Vegas",,,"6'10""",16.9,0.8,0.9,7.9,1.2,27.699999999999996
609,Delon Wright,27,"Los Angeles, CA",USA,,,University of Utah,,,"6'5""",6.9,2.2,0.9,2.6,0.3,12.9
610,Delon Wright,27,"Los Angeles, CA",USA,,,University of Utah,,,"6'5""",12.2,5.3,1.6,5.5,0.6,25.200000000000003
611,Guerschon Yabusele,24,Dreux,France,,,,,,"6'8""",2.3,0.4,0.2,1.3,0.2,4.3999999999999995
612,Nick Young,34,"Los Angeles, CA",USA,,,University of Southern California,,,"6'7""",2.2,0.5,0.0,0.2,0.2,3.1000000000000005
613,Thaddeus Young,31,"New Orleans, LA",USA,,,Georgia Institute of Technology,,,"6'8""",12.6,2.5,1.5,6.4,0.5,23.5
614,Trae Young,21,"Lubbock, TX",USA,,,,,,"6'1""",19.1,8.1,0.9,3.7,0.2,31.999999999999996
615,Cody Zeller,27,"Washington, IN",USA,,,Indiana University,,,"7'0""",10.1,2.1,0.8,6.8,0.9,20.7
616,Tyler Zeller,30,"Visalia, CA",USA,,,University of North Carolina,,,"7'0""",0.0,0.5,0.0,3.0,0.0,3.5
617,Tyler Zeller,30,"Visalia, CA",USA,,,University of North Carolina,,,"7'0""",11.5,0.8,0.2,4.5,0.8,17.8
618,Qi Zhou,24,,,,,,,,"7'1""",2.0,0.0,0.0,0.0,0.0,2.0
619,Ante Zizic,23,Split,Croatia,,,,,,"6'10""",7.8,0.9,0.2,5.4,0.4,14.7
620,Ivica Zubac,23,Mostar,Croatia,,,,,,"7'0""",8.5,0.8,0.2,4.9,0.8,15.200000000000001
621,Ivica Zubac,23,Mostar,Croatia,,,,,,"7'0""",9.4,1.5,0.4,7.7,0.9,19.9
622,Jalen Adams,24,"Melrose, MA",USA,,,,,,"6'2""",0,0,0,0,0,0
623,Cliff Alexander,24,"Chicago, IL",USA,,,University of Kansas,,,"6'8""",0,0,0,0,0,0
624,Kyle Alexander,23,"Milton, ON",Canada,,,,,,"6'10""",0,0,0,0,0,0
625,Nickeil Alexander-Walker,21,"Toronto, ON",Canada,,,Virginia Tech,,,"6'5""",0,0,0,0,0,0
626,Noah Allen,25,,USA,,,,,,"6'7""",0,0,0,0,0,0
627,Thanasis Antetokounmpo,27,Athens,Greece,,,,,,,0,0,0,0,0,0
628,Kenny Atkinson,2,,,,,,,,,0,0,0,0,0,0
629,Cat Barber,25,,USA,,,North Carolina State,,,"6'1""",0,0,0,0,0,0
630,RJ Barrett,19,"Toronto, ON",Canada,,,Duke,,,"6'6""",0,0,0,0,0,0
631,Tyus Battle,22,,,,,Syracuse,,,"6'6""",0,0,0,0,0,0
