,Name,Age,Birth City,Birth Country,Birth Lat,Birth Lng,College,College Lat,College Lng,Height (in),Points/Game,Assists/Game,Steals/Game,Rebounds/Game,Blocks/Game,Ability Score
96,Jose Calderon,38,Villanueva de la Serena,Spain,,,,,,"6'3""",2.3,2.3,0.3,1.2,0.1,6.199999999999999
97,Kentavious Caldwell-Pope,27,"Thomaston, GA",USA,,,University of Georgia,,,"6'5""",11.4,1.3,0.9,2.9,0.2,16.7
98,Isaiah Canaan,28,"Biloxi, MS",USA,,,Murray State University,,,"6'0""",7.5,3.3,0.6,2.6,0.0,13.999999999999998
99,Isaiah Canaan,28,"Biloxi, MS",USA,,,Murray State University,,,"6'0""",4.7,2.7,0.3,0.7,0.1,8.500000000000002
100,Isaiah Canaan,28,"Biloxi, MS",USA,,,Murray State University,,,"6'0""",1.5,0.8,0.0,1.0,0.2,3.5
101,Clint Capela,25,Geneva,Switzerland,,,,,,"6'10""",16.6,1.4,0.7,12.6,1.5,32.8
102,DeMarre Carroll,33,"Birmingham, AL",USA,,,University of Missouri,,,"6'6""",11.1,1.3,0.4,5.2,0.1,18.1
103,Jevon Carter,24,"Oak Park, IL",USA,,,,,,"6'1""",4.4,1.8,0.7,1.7,0.3,8.9
104,Vince Carter,43,"Daytona Beach, FL",USA,,,University of North Carolina,,,"6'6""",7.3,1.1,0.6,2.5,0.4,11.9
105,Wendell Carter Jr.,21,"Atlanta, GA",USA,,,,,,"6'9""",10.3,1.8,0.6,7.0,1.3,21.000000000000004
106,Michael Carter-Williams,28,"Hamilton, MA",USA,,,Syracuse University,,,"6'5""",4.3,1.3,0.6,0.8,0.4,7.3999999999999995
107,Michael Carter-Williams,28,"Hamilton, MA",USA,,,Syracuse University,,,"6'5""",5.4,4.1,0.9,4.8,0.8,16.0
108,Alex Caruso,26,"College Station, TX",USA,,,Texas A&M University,,,"6'5""",9.2,3.1,1.0,2.7,0.4,16.4
109,Omri Casspi,31,Holon,Israel,,,,,,"6'9""",6.3,0.7,0.6,3.2,0.2,10.999999999999998
110,Willie Cauley-Stein,26,"Spearville, KS",USA,,,University of Kentucky,,,"7'0""",11.9,2.4,1.2,8.4,0.6,24.5
111,Troy Caupain,24,"New York, NY",USA,,,,,,"6'4""",2.5,1.0,0.2,0.8,0.0,4.5
112,Tyler Cavanaugh,26,"Syracuse, NY",USA,,,George Washington University,,,"6'9""",0.8,0.1,0.0,0.7,0.0,1.6
113,Tyson Chandler,37,"Hanford, CA",USA,,,,,,"7'0""",3.7,0.9,0.3,5.6,0.1,10.600000000000001
114,Tyson Chandler,37,"Hanford, CA",USA,,,,,,"7'0""",3.1,0.6,0.4,5.6,0.5,10.2
115,Wilson Chandler,32,"Benton Harbor, MI",USA,,,DePaul University,,,"6'8""",6.7,2.0,0.6,4.6,0.5,14.4
116,Wilson Chandler,32,"Benton Harbor, MI",USA,,,DePaul University,,,"6'8""",4.3,0.7,0.2,3.1,0.2,8.499999999999998
117,Joe Chealey,24,"Orlando, FL",USA,,,,,,"6'4""",2.0,1.0,0.0,0.0,0.0,3.0
118,Chris Chiozza,24,"Memphis, TN",USA,,,,,,"5'11""",0.9,0.6,0.1,0.6,0.1,2.3000000000000003
119,Marquese Chriss,22,"Sacramento, CA",USA,,,University of Washington,,,"6'9""",1.8,0.4,0.1,1.8,0.2,4.3
120,Marquese Chriss,22,"Sacramento, CA",USA,,,University of Washington,,,"6'9""",5.7,0.6,0.6,4.2,0.3,11.4
121,Gary Clark,25,"Smithfield, NC",USA,,,,,,"6'6""",2.9,0.4,0.4,2.3,0.5,6.5
122,Ian Clark,29,"Memphis, TN",USA,,,Belmont University,,,"6'3""",6.7,1.6,0.4,1.5,0.1,10.299999999999999
123,Jordan Clarkson,27,"Tampa, FL",USA,,,University of Missouri,,,"6'4""",16.8,2.4,0.7,3.3,0.2,23.4
124,John Collins,22,"Layton, UT",USA,,,Wake Forest University,,,"6'9""",19.5,2.0,0.4,9.8,0.6,32.3
125,Zach Collins,22,"Las Vegas, NV",USA,,,Gonzaga University,,,"6'11""",6.6,0.9,0.3,4.2,0.9,12.900000000000002
126,Darren Collison,32,"Rancho Cucamonga, CA",USA,,,"University of California, Los Angeles",,,"6'2""",11.2,6.0,1.4,3.1,0.1,21.799999999999997
127,Bonzie Colson,24,"Washington, DC",USA,,,,,,"6'6""",4.9,0.4,0.6,3.8,0.1,9.799999999999999
128,Mike Conley,32,"Fayetteville, AR",USA,,,Ohio State University,,,"6'1""",21.1,6.4,1.3,3.4,0.3,32.49999999999999
129,Pat Connaughton,27,"Arlington, MA",USA,,,University of Notre Dame,,,"6'5""",6.9,2.0,0.5,4.2,0.4,14.000000000000002
130,Quinn Cook,27,"Washington, DC",USA,,,Duke University,,,"6'1""",6.9,1.5,0.3,2.1,0.0,10.8
131,DeMarcus Cousins,29,"Mobile, AL",USA,,,University of Kentucky,,,"6'10""",15.7,3.5,1.3,8.0,1.4,29.9
132,Robert Covington,29,"Bellwood, IL",USA,,,Tennessee State University,,,"6'7""",11.3,1.1,1.8,5.2,1.8,21.200000000000003
133,Robert Covington,29,"Bellwood, IL",USA,,,Tennessee State University,,,"6'7""",14.5,1.5,2.3,5.7,1.0,25.0
134,Allen Crabbe,28,"Los Angeles, CA",USA,,,University of California,,,"6'5""",9.6,1.1,0.5,3.4,0.3,14.9
135,Torrey Craig,29,"Columbia, SC",USA,,,University of South Carolina Upstate,,,"6'7""",5.7,1.0,0.5,3.5,0.6,11.299999999999999
136,Jamal Crawford,40,"Seattle, WA",USA,,,University of Michigan,,,"6'5""",7.9,3.6,0.5,1.3,0.2,13.5
137,Mitch Creek,27,Horsham,Australia,,,,,,"6'5""",3.8,1.2,0.2,2.5,0.0,7.7
138,Mitch Creek,27,Horsham,Australia,,,,,,"6'5""",6.0,1.0,1.0,2.0,0.0,10.0
139,Jae Crowder,29,"Villa Rica, GA",USA,,,Marquette University,,,"6'6""",11.9,1.7,0.8,4.8,0.4,19.599999999999998
140,Dante Cunningham,32,"Clinton, MD",USA,,,Villanova University,,,"6'8""",3.0,0.8,0.4,2.9,0.2,7.300000000000001
141,Seth Curry,29,"Charlotte, NC",USA,,,Duke University,,,"6'2""",7.9,0.9,0.5,1.6,0.2,11.1
142,Stephen Curry,32,"Akron, OH",USA,,,Davidson College,,,"6'3""",27.3,5.2,1.3,5.3,0.4,39.5
143,Troy Daniels,28,"Roanoke, VA",USA,,,Virginia Commonwealth University,,,"6'4""",6.2,0.5,0.5,1.4,0.1,8.7
144,Anthony Davis,27,"Chicago, IL",USA,,,University of Kentucky,,,"6'10""",25.9,3.9,1.6,12.0,2.4,45.8
145,Deyonta Davis,23,"Muskegon, MI",USA,,,Michigan State University,,,"6'9""",4.0,0.6,0.3,4.0,0.6,9.5
146,Ed Davis,30,"Washington, DC",USA,,,University of North Carolina,,,"6'9""",5.8,0.8,0.4,8.6,0.4,16.0
147,Tyler Davis,22,"San Jose, CA",USA,,,,,,"6'10""",0.0,0.0,0.0,1.0,0.0,1.0
148,Dewayne Dedmon,30,"Lancaster, CA",USA,,,University of Southern California,,,"7'0""",10.8,1.4,1.1,7.5,1.1,21.900000000000002
149,Sam Dekker,25,"Sheboygan, WI",USA,,,University of Wisconsin,,,"6'9""",6.3,1.0,1.2,3.7,0.0,12.2
150,Sam Dekker,25,"Sheboygan, WI",USA,,,University of Wisconsin,,,"6'9""",6.1,1.0,0.7,3.0,0.2,10.999999999999998
151,Ángel Delgado,25,Santo Domingo,Dominican Republic,,,,,,"6'10""",1.5,0.0,0.5,2.0,0.0,4.0
152,Matthew Dellavedova,29,Maryborough,Australia,,,Saint Mary's College of California,,,"6'3""",1.7,2.4,0.2,0.8,0.0,5.1000000000000005
153,Matthew Dellavedova,29,Maryborough,Australia,,,Saint Mary's College of California,,,"6'3""",7.3,4.2,0.3,1.9,0.1,13.799999999999999
154,Luol Deng,35,Wow,South Sudan,,,Duke University,,,"6'9""",7.1,0.8,0.7,3.3,0.4,12.299999999999999
155,DeMar DeRozan,30,"Compton, CA",USA,,,University of Southern California,,,"6'6""",21.2,6.2,1.1,6.0,0.5,35.0
156,Marcus Derrickson,24,"Washington, DC",USA,,,,,,"6'7""",4.2,0.1,0.0,1.2,0.1,5.6
157,Cheick Diallo,23,Kayes,Mali,,,University of Kansas,,,"6'8""",6.0,0.5,0.5,5.2,0.5,12.7
158,Hamidou Diallo,21,"Queens, NY",USA,,,,,,"6'5""",3.7,0.3,0.4,1.9,0.2,6.5
159,Gorgui Dieng,30,Kebemer,Senegal,,,University of Louisville,,,"6'10""",6.4,0.9,0.6,4.1,0.5,12.5
160,Spencer Dinwiddie,27,"Los Angeles, CA",USA,,,University of Colorado,,,"6'5""",16.8,4.6,0.6,2.4,0.2,24.599999999999998
161,Donte DiVincenzo,23,"Newark, DE",USA,,,,,,"6'4""",4.9,1.1,0.5,2.4,0.2,9.1
162,Luka Doncic,21,Ljubjana,Slovenia,,,,,,"6'7""",21.2,6.0,1.1,7.8,0.3,36.4
163,Tyler Dorsey,24,"Pasadena, CA",USA,,,University of Oregon,,,"6'5""",3.3,0.6,0.3,1.6,0.0,5.8
164,Tyler Dorsey,24,"Pasadena, CA",USA,,,University of Oregon,,,"6'5""",9.8,1.9,0.4,3.3,0.0,15.400000000000002
165,Damyean Dotson,25,"Houston, TX",USA,,,University of Houston,,,"6'5""",10.7,1.8,0.8,3.6,0.1,17.0
166,PJ Dozier,23,"Columbia, SC",USA,,,,,,"6'6""",3.2,0.8,0.3,2.8,0.0,7.1
167,Goran Dragic,33,Ljubljana,Slovenia,,,,,,"6'3""",13.7,4.8,0.8,3.1,0.1,22.500000000000004
168,Andre Drummond,26,"Mount Vernon, NY",USA,,,University of Connecticut,,,"6'10""",17.3,1.4,1.7,15.6,1.8,37.8
169,Jared Dudley,34,"San Diego, CA",USA,,,Boston College,,,"6'6""",4.9,1.4,0.6,2.6,0.3,9.8
170,Kris Dunn,26,"New London, CT",USA,,,Providence College,,,"6'3""",11.3,6.0,1.5,4.1,0.5,23.4
171,Kevin Durant,31,"Washington, DC",USA,,,University of Texas at Austin,,,"6'10""",26.0,5.9,0.8,6.4,1.1,40.199999999999996
172,Trevon Duval,21,"New Castle, DE",USA,,,,,,"6'3""",1.7,0.7,0.0,0.3,0.0,2.7
173,Vincent Edwards,24,"Middletown, OH",USA,,,,,,"6'8""",1.5,0.0,0.0,1.0,0.0,2.5
174,Henry Ellenson,23,"Rice Lake, WI",USA,,,Marquette University,,,"6'11""",6.0,0.5,0.0,4.5,0.0,11.0
175,Henry Ellenson,23,"Rice Lake, WI",USA,,,Marquette University,,,"6'11""",6.0,0.9,0.4,3.4,0.1,10.8
176,Wayne Ellington,32,"Wynnewood, PA",USA,,,University of North Carolina,,,"6'4""",8.4,1.2,1.0,1.9,0.1,12.6
177,Wayne Ellington,32,"Wynnewood, PA",USA,,,University of North Carolina,,,"6'4""",12.0,1.5,1.1,2.1,0.1,16.8
178,Joel Embiid,26,Yaounde,Cameroon,,,University of Kansas,,,"7'0""",27.5,3.7,0.7,13.6,1.9,47.400000000000006
179,James Ennis III,29,"Ventura, CA",USA,,,"California State University, Long Beach",,,"6'6""",7.4,0.7,1.0,2.9,0.4,12.4
180,James Ennis III,29,"Ventura, CA",USA,,,"California State University, Long Beach",,,"6'6""",5.3,0.8,0.2,3.6,0.4,10.3
181,Drew Eubanks,23,"Starkville, MS",USA,,,,,,"6'9""",1.8,0.3,0.1,1.5,0.2,3.9
182,Jacob Evans,22,"Jacksonville, NC",USA,,,,,,"6'4""",1.3,0.8,0.2,0.8,0.1,3.2000000000000006
183,Jawun Evans,23,"Greenville, SC",USA,,,Oklahoma State University,,,"6'0""",0.9,1.4,0.4,1.7,0.0,4.4
184,Jawun Evans,23,"Greenville, SC",USA,,,Oklahoma State University,,,"6'0""",0.0,0.0,0.0,0.0,0.0,0.0
185,Tyreke Evans,30,"Chester, PA",USA,,,University of Memphis,,,"6'6""",10.2,2.4,0.8,2.9,0.3,16.6
186,Dante Exum,24,Melbourne,Australia,,,,,,"6'5""",6.9,2.6,0.3,1.6,0.1,11.5
