,Unnamed: 0,Name,Age,Birth City,Birth Country,Birth Lat,Birth Lng,College,College Lat,College Lng,Ability Score
72,72,Miles Bridges,22,"Flint, MI",USA,43.0125274,-83.6874562,,,,14.099999999999998
73,73,Isaiah Briscoe,24,"Newark, NJ",USA,40.735657,-74.1723667,,,,8.0
74,74,Ryan Broekhoff,29,Melbourne,Australia,-37.8136276,144.9630576,,,,6.199999999999998
75,75,Malcolm Brogdon,27,"Atlanta, GA",USA,33.7489954,-84.3879824,University of Virginia,,,24.2
76,76,Dillon Brooks,24,Mississauga,Canada,43.5890452,-79.6441198,University of Oregon,,,10.9
77,77,MarShon Brooks,31,"Long Branch, NJ",USA,40.30427780000001,-73.9923596,,,,9.5
78,78,Bruce Brown,23,"Boston, MA",USA,42.3600825,-71.0588801,,,,9.0
79,79,Jaylen Brown,23,"Marietta, GA",USA,33.95260200000001,-84.5499327,University of California,,,19.899999999999995
80,80,Lorenzo Brown,29,"Roswell, GA",USA,34.0232431,-84.3615555,North Carolina State University,,,5.1000000000000005
81,81,Sterling Brown,25,"Maywood, IL",USA,41.8791979,-87.8431155,Southern Methodist University,,,11.500000000000002
82,82,Troy Brown Jr.,20,"Las Vegas, NV",USA,36.1699412,-115.1398296,,,,9.6
83,83,Jalen Brunson,23,"Lincolnshire, IL",USA,42.1900249,-87.9084039,,,,15.4
84,84,Thomas Bryant,22,"Rochester, NY",USA,43.15657789999999,-77.6088465,Indiana University,,,19.3
85,85,Reggie Bullock,29,"Baltimore, MD",USA,39.2903848,-76.6121893,University of North Carolina,,,18.0
86,86,Reggie Bullock,29,"Baltimore, MD",USA,39.2903848,-76.6121893,University of North Carolina,,,14.2
87,87,Trey Burke,27,"Columbus, OH",USA,39.9611755,-82.99879419999999,University of Michigan,,,17.200000000000006
88,88,Trey Burke,27,"Columbus, OH",USA,39.9611755,-82.99879419999999,University of Michigan,,,14.4
89,89,Alec Burks,28,"Grandview, MO",USA,38.8858407,-94.5330096,University of Colorado,,,11.8
90,90,Alec Burks,28,"Grandview, MO",USA,38.8858407,-94.5330096,University of Colorado,,,21.2
91,91,Alec Burks,28,"Grandview, MO",USA,38.8858407,-94.5330096,University of Colorado,,,4.9
92,92,Deonte Burton,28,"Milwaukee, WI",USA,43.0389025,-87.9064736,,,,4.2
93,93,Jimmy Butler,30,"Houston, TX",USA,29.7604267,-95.3698028,Marquette University,,,34.1
94,94,Jimmy Butler,30,"Houston, TX",USA,29.7604267,-95.3698028,Marquette University,,,29.8
95,95,Bruno Caboclo,24,Osasco,Brazil,-23.5372048,-46.7962319,,,,15.8
96,96,Jose Calderon,38,Villanueva de la Serena,Spain,38.97357520000001,-5.7997323,,,,6.199999999999998
97,97,Kentavious Caldwell-Pope,27,"Thomaston, GA",USA,32.8881879,-84.3265854,University of Georgia,,,16.7
98,98,Isaiah Canaan,28,"Biloxi, MS",USA,30.3960318,-88.88530779999999,Murray State University,,,13.999999999999998
99,99,Isaiah Canaan,28,"Biloxi, MS",USA,30.3960318,-88.88530779999999,Murray State University,,,8.500000000000002
100,100,Isaiah Canaan,28,"Biloxi, MS",USA,30.3960318,-88.88530779999999,Murray State University,,,3.5
101,101,Clint Capela,25,Geneva,Switzerland,46.2043907,6.1431577,,,,32.8
102,102,DeMarre Carroll,33,"Birmingham, AL",USA,33.5185892,-86.8103567,University of Missouri,,,18.1
103,103,Jevon Carter,24,"Oak Park, IL",USA,41.8850317,-87.7845025,,,,8.9
104,104,Vince Carter,43,"Daytona Beach, FL",USA,29.2108147,-81.0228331,University of North Carolina,,,11.9
105,105,Wendell Carter Jr.,20,"Atlanta, GA",USA,33.7489954,-84.3879824,,,,21.000000000000004
106,106,Michael Carter-Williams,28,"Hamilton, MA",USA,42.63620520000001,-70.8431049,Syracuse University,,,7.399999999999999
107,107,Michael Carter-Williams,28,"Hamilton, MA",USA,42.63620520000001,-70.8431049,Syracuse University,,,16.0
108,108,Alex Caruso,26,"College Station, TX",USA,30.627977,-96.3344068,Texas A&M University,,,16.4
109,109,Omri Casspi,31,Holon,Israel,32.015833,34.787384,,,,10.999999999999998
110,110,Willie Cauley-Stein,26,"Spearville, KS",USA,37.8500191,-99.75679319999999,University of Kentucky,,,24.5
111,111,Troy Caupain,24,"New York, NY",USA,40.7127753,-74.0059728,,,,4.5
112,112,Tyler Cavanaugh,26,"Syracuse, NY",USA,43.0481221,-76.14742439999999,George Washington University,,,1.6
113,113,Tyson Chandler,37,"Hanford, CA",USA,36.3274502,-119.6456844,,,,10.6
114,114,Tyson Chandler,37,"Hanford, CA",USA,36.3274502,-119.6456844,,,,10.2
115,115,Wilson Chandler,32,"Benton Harbor, MI",USA,42.1167065,-86.45418939999999,DePaul University,,,14.4
116,116,Wilson Chandler,32,"Benton Harbor, MI",USA,42.1167065,-86.45418939999999,DePaul University,,,8.499999999999998
117,117,Joe Chealey,24,"Orlando, FL",USA,28.5383355,-81.3792365,,,,3.0
118,118,Chris Chiozza,24,"Memphis, TN",USA,35.1495343,-90.0489801,,,,2.3000000000000003
119,119,Marquese Chriss,22,"Sacramento, CA",USA,38.5815719,-121.4943996,University of Washington,,,4.3
