,Name,Age,Position,Points
448,Nick Holden,32,D,15
449,Justin Holl,28,D,1
451,Korbinian Holzer,32,D,5
452,Julius Honka,24,D,4
453,Patric Hornqvist,33,RW,39
454,Bo Horvat,25,C,61
455,Joshua Ho-Sang,24,RW,2
457,Brett Howden,22,C,23
458,Filip Hronek,22,D,24
459,Jonathan Huberdeau,26,LW,94
460,Charles Hudon,25,LW,5
461,Quinn Hughes,20,D,3
462,Brad Hunt,31,D,7
463,Brad Hunt,31,D,5
464,Dryden Hunt,24,LW,10
465,Matt Hunwick,34,D,2
468,Ben Hutton,26,D,20
470,Tomas Hyka,27,RW,4
471,Zach Hyman,27,LW,41
472,Alex Iafallo,26,LW,34
473,Matt Irwin,32,D,7
474,Josh Jacobs,24,D,0
475,Mark Jankowski,25,C,33
476,Mattias Janmark,27,C,25
477,Calle Jarnkrok,28,C,26
478,Christian Jaros,24,D,10
480,Dmitrij Jaskin,27,RW,8
481,Boone Jenner,26,C,38
482,Nick Jensen,29,D,15
483,Nick Jensen,29,D,5
484,Jakub Jerabek,28,D,0
485,Ryan Johansen,27,C,64
486,Marcus Johansson,29,LW,27
487,Marcus Johansson,29,LW,3
488,Adam Johnson,25,C,2
491,Erik Johnson,32,D,25
492,Jack Johnson,33,D,13
493,Luke Johnson,25,C,1
494,Tyler Johnson,29,C,47
495,Andreas Johnsson,25,LW,43
496,Ross Johnston,26,LW,4
497,Henri Jokiharju,20,D,12
498,Caleb Jones,22,D,6
500,Max Jones,22,LW,7
501,Seth Jones,25,D,46
502,Mathieu Joseph,23,RW,26
503,Roman Josi,29,D,57
504,Tyson Jost,22,C,26
505,Noah Juulsen,23,D,5
506,Nazem Kadri,29,C,44
507,Dominik Kahun,24,C,38
508,Vladislav Kamenev,23,C,5
509,David Kampf,25,C,20
510,Steven Kampfer,31,D,6
511,Evander Kane,28,LW,58
512,Patrick Kane,31,RW,112
513,Kasperi Kapanen,23,RW,44
514,Erik Karlsson,29,D,46
515,Melker Karlsson,29,C,17
516,William Karlsson,27,C,56
517,Ondrej Kase,24,RW,20
518,Zack Kassian,29,RW,26
519,Brady Keeper,23,D,0
520,Duncan Keith,36,D,41
521,Clayton Keller,21,C,47
522,Adrian Kempe,23,C,28
523,Mario Kempe,31,RW,9
524,Michal Kempny,29,D,25
525,Alexander Kerfoot,25,C,42
526,Ryan Kesler,35,C,8
527,Phil Kessel,32,RW,85
528,Jujhar Khaira,25,LW,18
530,Alex Killorn,30,LW,40
532,Bogdan Kiselevich,30,D,8
533,Oscar Klefbom,26,D,29
534,John Klingberg,27,D,45
535,Justin Kloos,26,C,0
