name_common,age,mlb_ID,player_ID,year_ID,team_ID,stint_ID,lg_ID,PA,G,Inn,runs_bat,runs_br,runs_dp,runs_field,runs_infield,runs_outfield,runs_catcher,runs_good_plays,runs_defense,runs_position,runs_position_p,runs_replacement,runs_above_rep,runs_above_avg,runs_above_avg_off,runs_above_avg_def,WAA,WAA_off,WAA_def,WAR,WAR_def,WAR_off,WAR_rep,salary,pitcher,teamRpG,oppRpG,oppRpPA_rep,oppRpG_rep,pyth_exponent,pyth_exponent_rep,waa_win_perc,waa_win_perc_off,waa_win_perc_def,waa_win_perc_rep,OPS_plus,TOB_lg,TB_lg
Tyler Bashlor,25,641341,bashlty01,2018,NYM,1,NL,1,22,32.0,-0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,-0.1,-0.1,-0.1,0.0,-0.01,-0.01,-0.02,-0.01,-0.02,-0.01,0.00,NULL,Y,4.31837,4.32337,0.07868,4.32189,1.849,1.849,0.4995,0.4995,0.5000,0.4998,-100.0000,0.316,0.402
Anthony Bass,30,542914,bassan01,2018,CHC,1,NL,0,16,15.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,-0.01,0.00,-0.01,0.00,0.00,NULL,Y,4.32337,4.32337,0.07868,4.32337,1.849,1.849,0.5000,0.5000,0.5000,0.5000,NULL,0.000,0.000
Chris Bassitt,29,605135,bassich01,2018,OAK,1,AL,0,0,47.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Y,NULL,4.57865,0.08136,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.000,0.000
Jake Bauers,22,641343,bauerja01,2018,TBR,1,AL,388,96,819.0,-3.46,-1.12,2.40,-2.00,0.00,0.00,0.00,0.00,-2.00,-5.63,0.00,13.90,4.1,-9.8,-7.8,-7.6,-0.87,-0.73,-0.68,0.45,-0.68,0.59,1.32,NULL,N,4.49729,4.57865,0.08136,4.43383,1.875,1.871,0.4895,0.4916,0.4918,0.4850,93.8073,121.513,132.753
Trevor Bauer,27,545333,bauertr01,2018,CLE,1,AL,3,1,175.3,-0.83,-0.13,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.46,0.00,-0.3,-0.3,-0.3,0.0,-0.03,-0.03,0.00,-0.03,0.00,-0.03,0.00,6525000,Y,4.28865,4.57865,0.08136,4.47116,1.863,1.873,0.4696,0.4696,0.5010,0.4889,-100.0000,0.968,1.266
Buddy Baumann,30,571473,baumabu01,2018,NYM,2,NL,1,3,3.0,-0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,-0.1,-0.1,-0.1,0.0,-0.01,-0.01,0.00,-0.01,0.00,-0.01,0.00,NULL,Y,4.28670,4.32337,0.07868,4.31254,1.847,1.849,0.4961,0.4961,0.5000,0.4988,-100.0000,0.316,0.402
Buddy Baumann,30,571473,baumabu01,2018,SDP,1,NL,0,1,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NULL,Y,4.32337,4.32337,0.07868,4.32337,1.849,1.849,0.5000,0.5000,0.5000,0.5000,NULL,0.000,0.000
Gerson Bautista,23,639373,bautige01,2018,NYM,1,NL,0,5,4.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NULL,Y,4.32337,4.32337,0.07868,4.32337,1.849,1.849,0.5000,0.5000,0.5000,0.5000,NULL,0.000,0.000
Jose Bautista,37,430832,bautijo02,2018,ATL,1,NL,40,12,79.3,-2.15,-0.14,0.00,-2.00,0.00,0.00,0.00,0.00,-2.00,-0.02,0.00,1.30,-3.0,-4.3,-2.3,-2.0,-0.47,-0.26,-0.22,-0.34,-0.22,-0.13,0.13,NULL,N,4.13087,4.32337,0.07868,4.21504,1.837,1.843,0.4616,0.4791,0.4822,0.4883,58.0173,13.128,14.662
Jose Bautista,37,430832,bautijo02,2018,NYM,2,NL,302,83,590.7,6.82,-1.00,-0.03,1.00,0.00,0.00,0.00,-1.00,0.00,-2.25,0.00,9.82,13.4,3.5,3.5,-2.3,0.26,0.31,-0.30,1.23,-0.30,1.28,0.97,545000,N,4.36602,4.32337,0.07868,4.20511,1.852,1.842,0.5045,0.5045,0.4971,0.4872,102.4643,95.462,98.441
Jose Bautista,37,430832,bautijo02,2018,PHI,3,NL,57,27,98.0,2.43,0.04,0.19,-1.00,0.00,2.00,0.00,0.00,1.00,-0.37,0.00,1.85,5.1,3.3,2.3,0.6,0.33,0.23,0.05,0.51,0.05,0.41,0.18,NULL,N,4.40818,4.32337,0.07868,4.25476,1.854,1.845,0.5130,0.5090,0.5025,0.4926,133.3575,18.782,18.936
