,Name,Age,Birth City,Birth Country,Birth Lat,Birth Lng,College,College Lat,College Lng,Ability Score
211,Rudy Gay,33,"Brooklyn, NY",USA,,,University of Connecticut,41.8077414,-72.2539805,24.4
67,Avery Bradley,29,"Tacoma, WA",USA,,,University of Texas at Austin,30.2849185,-97.7340567,24.3
75,Malcolm Brogdon,27,"Atlanta, GA",USA,,,University of Virginia,38.0335529,-78.5079772,24.2
551,Jeff Teague,31,"Indianapolis, IN",USA,,,Wake Forest University,36.1355052,-80.2791958,24.2
35,Harrison Barnes,27,"Ames, IA",USA,,,University of North Carolina,35.9049122,-79.0469134,24.1
227,Draymond Green,30,"Saginaw, MI",USA,,,Michigan State University,42.701848,-84.4821719,24.1
563,Tristan Thompson,29,Toronto,Canada,,,University of Texas at Austin,30.2849185,-97.7340567,24.1
278,RJ Hunter,26,"Oxford, OH",USA,,,Georgia State University,33.753068,-84.38528190000001,24.0
500,Rajon Rondo,34,"Louisville, KY",USA,,,University of Kentucky,38.0306511,-84.5039697,23.9
409,Paul Millsap,35,"Monroe, LA",USA,,,Louisiana Tech University,32.5282644,-92.6499298,23.8
488,JJ Redick,35,"Cookeville, TN",USA,,,Duke University,36.0014258,-78.9382286,23.8
606,Justise Winslow,24,"Houston, TX",USA,,,Duke University,36.0014258,-78.9382286,23.700000000000006
461,Jabari Parker,25,"Chicago, IL",USA,,,Duke University,36.0014258,-78.9382286,23.7
479,Bobby Portis,25,"Little Rock, AR",USA,,,University of Arkansas,36.0686895,-94.1748471,23.6
613,Thaddeus Young,31,"New Orleans, LA",USA,,,Georgia Institute of Technology,33.7756178,-84.39628499999999,23.5
123,Jordan Clarkson,27,"Tampa, FL",USA,,,University of Missouri,38.9403808,-92.32773750000001,23.4
170,Kris Dunn,26,"New London, CT",USA,,,Providence College,41.8440925,-71.4381653,23.4
188,Kenneth Faried,30,"Newark, NJ",USA,,,Morehead State University,38.1886162,-83.4315122,23.300000000000004
294,Reggie Jackson,29,Pordenone,USA,,,Boston College,42.3355488,-71.16849450000001,23.0
437,Larry Nance Jr.,27,"Akron, OH",USA,,,University of Wyoming,41.3148754,-105.5665744,22.9
394,JaVale McGee,32,"Flint, MI",USA,,,"University of Nevada, Reno",39.5441917,-119.816397,22.9
353,Caris LeVert,25,"Columbus, OH",USA,,,University of Michigan,42.2780436,-83.7382241,22.8
10,Jarrett Allen,21,"Austin, TX",USA,,,University of Texas at Austin,30.2849185,-97.7340567,22.7
32,Lonzo Ball,22,"Anaheim, CA",USA,,,"University of California, Los Angeles",34.068921,-118.4451811,22.5
189,Derrick Favors,28,"Atlanta, GA",USA,,,Georgia Institute of Technology,33.7756178,-84.39628499999999,22.5
477,Otto Porter Jr.,26,"St. Louis, MO",USA,,,Georgetown University,38.9076089,-77.07225849999999,22.4
426,Marcus Morris Sr.,30,"Philadelphia, PA",USA,,,University of Kansas,38.9543439,-95.2557961,22.4
36,Harrison Barnes,27,"Ames, IA",USA,,,University of North Carolina,35.9049122,-79.0469134,22.3
148,Dewayne Dedmon,30,"Lancaster, CA",USA,,,University of Southern California,34.0223519,-118.285117,21.9
126,Darren Collison,32,"Rancho Cucamonga, CA",USA,,,"University of California, Los Angeles",34.068921,-118.4451811,21.8
223,Jerami Grant,26,"Portland, OR",USA,,,Syracuse University,43.0391534,-76.1351158,21.8
537,Dennis Smith Jr.,22,"Fayetteville, NC",USA,,,North Carolina State University,35.7846633,-78.6820946,21.7
502,Terrence Ross,29,"Portland, OR",USA,,,University of Washington,47.6912794,-122.3176141,21.6
360,Brook Lopez,32,"North Hollywood, CA",USA,,,Stanford University,37.4274745,-122.169719,21.4
219,Eric Gordon,31,"Indianapolis, IN",USA,,,Indiana University,38.3449041,-85.819778,21.3
236,Tim Hardaway Jr.,28,"Orinda, CA",USA,,,University of Michigan,42.2780436,-83.7382241,21.3
132,Robert Covington,29,"Bellwood, IL",USA,,,Tennessee State University,36.1668224,-86.8275815,21.200000000000006
90,Alec Burks,28,"Grandview, MO",USA,,,University of Colorado,40.00758099999999,-105.2659417,21.2
309,Tyler Johnson,27,"Grand Forks, ND",USA,,,"California State University, Fresno",36.8133631,-119.7460947,20.9
615,Cody Zeller,27,"Washington, IN",USA,,,Indiana University,38.3449041,-85.819778,20.7
242,Joe Harris,28,"Chelan, WA",USA,,,University of Virginia,38.0335529,-78.5079772,20.7
266,Justin Holiday,31,"Mission Hills, CA",USA,,,University of Washington,47.6912794,-122.3176141,20.6
