,Name,Age,Birth City,Birth Country,Birth Lat,Birth Lng,College,College Lat,College Lng,Position,Points
64,Tyler Bertuzzi,25,"Sudbury, ON",Canada,,,,,,LW,47
65,Alex Biega,32,"Montreal, QC",Canada,,,,,,RW,16
66,Jordan Binnington,26,"Richmond Hill, ON",Canada,,,,,,C,0
67,Ben Bishop,33,"Denver, CO",USA,,,,,,C,2
68,Clark Bishop,24,"St. John's, NL",Canada,,,,,,C,3
69,Anthony Bitetto,29,"Island Park, NY",USA,,,,,,LW,3
70,Anthony Bitetto,29,"Island Park, NY",USA,,,,,,C,0
71,Anders Bjork,23,"Mequon, WI",USA,,,,,,C,3
72,Oliver Bjorkstrand,25,Herning,Denmark,,,,,,LW,36
73,Nick Bjugstad,27,"Minneapolis, MN",USA,,,,,,C,12
74,Nick Bjugstad,27,"Minneapolis, MN",USA,,,,,,LW,14
75,Colin Blackwell,27,"Lawrence, MA",USA,,,,,,RW,0
76,Mackenzie Blackwood,23,"Thunder Bay, ON",Canada,,,,,,D,0
77,Sammy Blais,23,"Montmagny, QC",Canada,,,,,,C,4
78,Joseph Blandisi,25,"Markham, ON",USA,,,,,,D,0
79,Joseph Blandisi,25,"Markham, ON",USA,,,,,,C,0
80,Anton Blidh,25,Molnlycke,Sweden,,,,,,D,0
81,Teddy Blueger,25,Riga,Latvia,,,,,,D,10
82,Sergei Bobrovsky,31,Novokuznetsk,Russia,,,,,,D,0
83,Mikkel Boedker,30,Brondby,Denmark,,,,,,C,36
84,Brock Boeser,23,"Burnsville, MN",USA,,,,,,LW,56
85,Zach Bogosian,29,"Massena, NY",USA,,,,,,D,19
86,Nick Bonino,31,"Hartford, CT",USA,,,,,,D,35
87,William Borgen,23,"Moorhead, MN",USA,,,,,,D,0
88,Henrik Borgstrom,22,Helsinki,Finland,,,,,,D,18
89,Mark Borowiecki,30,"Ottawa, ON",Canada,,,,,,C,5
90,Robert Bortuzzo,31,"Thunder Bay, ON",Canada,,,,,,C,10
91,Evan Bouchard,20,"Oakville, ON",Canada,,,,,,C,1
92,Reid Boucher,26,"Grand Ledge, MI",USA,,,,,,C,0
93,Gabriel Bourque,29,"Rimouski, QC",Canada,,,,,,D,8
94,Jay Bouwmeester,36,"Edmonton, AB",Canada,,,,,,C,17
95,Landon Bow,24,"St. Albert, AB",Canada,,,,,,C,0
96,Madison Bowey,24,"Winnipeg, MB",Canada,,,,,,C,6
97,Madison Bowey,24,"Winnipeg, MB",Canada,,,,,,LW,4
98,Johnny Boychuk,36,"Edmonton, AB",Canada,,,,,,D,19
99,Travis Boyd,26,"Hopkins, MN",USA,,,,,,LW,20
100,Brian Boyle,35,"Hingham, MA",USA,,,,,,D,19
101,Brian Boyle,35,"Hingham, MA",USA,,,,,,D,5
102,Kevin Boyle,27,"Manalapan, NJ",USA,,,,,,D,0
103,Tyler Bozak,34,"Regina, SK",Canada,,,,,,D,39
104,Erik Brannstrom,20,Almesakra,Sweden,,,,,,C,0
105,Derick Brassard,32,"Hull, QC",Canada,,,,,,C,15
106,Derick Brassard,32,"Hull, QC",Canada,,,,,,RW,4
107,Derick Brassard,32,"Hull, QC",Canada,,,,,,RW,4
108,Jesper Bratt,21,Stockholm,Sweden,,,,,,RW,33
109,Justin Braun,33,"Minneapolis, MN",USA,,,,,,D,16
110,Connor Brickley,28,"Everett, MA",USA,,,,,,RW,3
111,Daniel Brickley,25,"Salt Lake City, UT",USA,,,,,,C,1
112,Guillaume Brisebois,22,"St. Hilaire, QC",Canada,,,,,,LW,0
113,TJ Brodie,29,"Chatham, ON",Canada,,,,,,LW,34
114,Jonas Brodin,26,Karlstad,Sweden,,,,,,LW,18
115,Kyle Brodziak,35,"St. Paul, AB",Canada,,,,,,D,9
116,Jonny Brodzinski,26,"Ham Lake, MN",USA,,,,,,D,3
117,Laurent Brossoit,27,"Port Alberni, BC",Canada,,,,,,D,0
118,Troy Brouwer,34,"Vancouver, BC",Canada,,,,,,D,21
119,Connor Brown,26,"Toronto, ON",Canada,,,,,,D,29
120,Dustin Brown,35,"Ithaca, NY",USA,,,,,,LW,53
121,Josh Brown,26,"London, ON",Canada,,,,,,C,2
122,J.T. Brown,29,"Burnsville, MN",USA,,,,,,C,8
123,Logan Brown,22,"Raleigh, NC",USA,,,,,,RW,0
124,Pavel Buchnevich,24,Cherepovets,Russia,,,,,,LW,39
125,Peter Budaj,37,Banská Bystrica,Slovakia,,,,,,D,0
126,Michael Bunting,24,"Scarborough, ON",Canada,,,,,,C,1
127,Andre Burakovsky,25,Klagenfurt,Austria,,,,,,C,25
128,Erik Burgdoerfer,31,"Abington, PA",USA,,,,,,D,0
129,Brent Burns,35,"Barrie, ON",Canada,,,,,,D,84
130,Will Butcher,25,"Sun Prairie, WI",USA,,,,,,D,31
131,Chris Butler,33,"St. Louis, MO",USA,,,,,,C,2
