,Name,Age,Birth City,Birth Country,Birth Lat,Birth Lng,College,College Lat,College Lng,Position,Points
392,Erik Gudbranson,28,"Ottawa, ON",Canada,,,,,,C,2
393,Jake Guentzel,25,"Omaha, NE",USA,,,,,,D,77
394,Brendan Guhle,22,"Edmonton, AB",USA,,,,,,LW,0
395,Brendan Guhle,22,"Edmonton, AB",USA,,,,,,RW,1
396,Carl Gunnarsson,33,Orebro,Sweden,,,,,,RW,7
397,Denis Gurianov,22,Togliatti,Russia,,,,,,C,4
398,Erik Gustafsson,28,Nynashamn,Sweden,,,,,,C,61
399,Carl Hagelin,31,Sodertalje,Sweden,,,,,,D,3
400,Carl Hagelin,31,Sodertalje,Sweden,,,,,,D,5
401,Carl Hagelin,31,Sodertalje,Sweden,,,,,,C,11
402,Robert Hagg,25,Uppsala,Sweden,,,,,,LW,20
403,Ron Hainsey,39,"Bolton, CT",USA,,,,,,LW,23
404,Libor Hajek,22,Smrcek,Czech Republic,,,,,,C,1
405,Jaroslav Halak,34,Bratislava,SVK,,,,,,D,4
406,Micheal Haley,34,"Guelph, ON",Canada,,,,,,LW,3
407,Micheal Haley,34,"Guelph, ON",Canada,,,,,,D,3
408,Taylor Hall,28,"Calgary, AB",Canada,,,,,,D,37
409,Dan Hamhuis,37,"Smithers, BC",Canada,,,,,,D,5
410,Dougie Hamilton,26,"Toronto, ON",Canada,,,,,,D,40
411,Travis Hamonic,29,"St. Malo, MB",Canada,,,,,,RW,21
412,Noah Hanifin,23,"Boston, MA",USA,,,,,,C,34
413,Joel Hanley,28,"Keswick, ON",Canada,,,,,,RW,0
414,Markus Hannikainen,27,Helsinki,Finland,,,,,,C,7
415,Martin Hanzal,33,Pisek,Czech Republic,,,,,,D,2
416,Ben Harpur,25,"Hamilton, ON",Canada,,,,,,LW,5
417,Scott Harrington,27,"Kingston, ON",Canada,,,,,,LW,17
418,Carter Hart,21,"Sherwood Park, AB",Canada,,,,,,D,0
419,Ryan Hartman,25,"Hilton Head Isl., SC",USA,,,,,,D,20
420,Ryan Hartman,25,"Hilton Head Isl., SC",USA,,,,,,D,7
421,Garnet Hathaway,28,"Kennebunkport, ME",USA,,,,,,LW,20
422,Erik Haula,29,Pori,Finland,,,,,,D,7
423,Jayce Hawryluk,24,"Yorkton, SK",Canada,,,,,,D,12
424,John Hayden,25,"Chicago, IL",USA,,,,,,RW,5
425,Kevin Hayes,27,"Dorchester, MA",USA,,,,,,LW,42
426,Kevin Hayes,27,"Dorchester, MA",USA,,,,,,LW,12
427,Dillon Heatherington,24,"Calgary, AB",Canada,,,,,,D,1
428,Victor Hedman,29,Ornskoldsvik,Sweden,,,,,,D,54
429,Tim Heed,29,Gothenburg,Sweden,,,,,,C,13
430,Danton Heinen,24,"Langley, BC",Canada,,,,,,C,34
431,Miro Heiskanen,20,Espoo,Finland,,,,,,C,33
432,Connor Hellebuyck,26,"Commerce, MI",USA,,,,,,D,3
433,Darren Helm,33,"St. Andrews, MB",Canada,,,,,,RW,17
434,Matt Hendricks,38,"Blaine, MN",USA,,,,,,C,2
435,Matt Hendricks,38,"Blaine, MN",USA,,,,,,D,1
436,Adam Henrique,30,"Brantford, ON",Canada,,,,,,D,42
437,Tomas Hertl,26,Praha,Czech Republic,,,,,,D,75
438,Joe Hicketts,23,"Kamloops, BC",Canada,,,,,,C,0
439,Thomas Hickey,31,"Calgary, AB",Canada,,,,,,LW,4
440,Adin Hill,23,"Comox, BC",Canada,,,,,,LW,0
441,Vinnie Hinostroza,26,"Chicago, IL",USA,,,,,,C,39
442,Roope Hintz,23,Tampere,Finland,,,,,,D,22
443,Taro Hirose,23,"Calgary, AB",Canada,,,,,,D,8
444,Nico Hischier,21,Brig,Switzerland,,,,,,C,48
445,Niklas Hjalmarsson,32,Eksjo,Sweden,,,,,,C,10
446,Mike Hoffman,30,"Kitchener, ON",Canada,,,,,,LW,71
447,Marcus Hogberg,25,Orebro,Sweden,,,,,,LW,0
448,Nick Holden,32,"St. Albert, AB",Canada,,,,,,D,15
449,Justin Holl,28,"Tonka Bay, MN",USA,,,,,,D,1
450,Braden Holtby,30,"Lloydminster, SK",Canada,,,,,,LW,2
451,Korbinian Holzer,32,Munich,Germany,,,,,,D,5
452,Julius Honka,24,Jyväskylä,Finland,,,,,,RW,4
453,Patric Hornqvist,33,Sollentuna,Sweden,,,,,,D,39
454,Bo Horvat,25,"London, ON",Canada,,,,,,C,61
455,Joshua Ho-Sang,24,"Toronto, ON",Canada,,,,,,D,2
456,Jimmy Howard,36,"Syracuse, NY",USA,,,,,,C,1
457,Brett Howden,22,"Calgary, AB",Canada,,,,,,C,23
458,Filip Hronek,22,Hradec Králové,Czech Republic,,,,,,C,24
459,Jonathan Huberdeau,26,"Saint-Jerome, QC",Canada,,,,,,C,94
460,Charles Hudon,25,"Alma, QC",Canada,,,,,,D,5
461,Quinn Hughes,20,"Orlando, FL",USA,,,,,,LW,3
462,Brad Hunt,31,"Maple Ridge, BC",Canada,,,,,,RW,7
463,Brad Hunt,31,"Maple Ridge, BC",Canada,,,,,,RW,5
464,Dryden Hunt,24,"Cranbrook, BC",Canada,,,,,,D,10
465,Matt Hunwick,34,"Warren, MI",USA,,,,,,C,2
466,Michael Hutchinson,30,"Barrie, ON",Canada,,,,,,C,0
467,Michael Hutchinson,30,"Barrie, ON",Canada,,,,,,RW,0
468,Ben Hutton,26,"Brockville, ON",Canada,,,,,,RW,20
469,Carter Hutton,34,"Thunder Bay, ON",Canada,,,,,,D,1
470,Tomas Hyka,27,Mlada Boleslav,Czech Republic,,,,,,D,4
471,Zach Hyman,27,"Toronto, ON",Canada,,,,,,C,41
472,Alex Iafallo,26,"Eden, NY",USA,,,,,,C,34
473,Matt Irwin,32,"Victoria, BC",Canada,,,,,,RW,7
474,Josh Jacobs,24,"Shelby Township, MI",USA,,,,,,D,0
475,Mark Jankowski,25,"Hamilton, ON",Canada,,,,,,C,33
476,Mattias Janmark,27,Danderyd,Sweden,,,,,,C,25
477,Calle Jarnkrok,28,Gävle,Sweden,,,,,,RW,26
478,Christian Jaros,24,Kosice,Slovakia,,,,,,LW,10
479,Tristan Jarry,24,"Surrey, BC",Canada,,,,,,LW,0
480,Dmitrij Jaskin,27,Omsk,Russia,,,,,,D,8
481,Boone Jenner,26,"Dorchester, ON",Canada,,,,,,D,38
482,Nick Jensen,29,"Rogers, MN",USA,,,,,,D,15
483,Nick Jensen,29,"Rogers, MN",USA,,,,,,C,5
484,Jakub Jerabek,28,Pilsen,Czech Republic,,,,,,C,0
485,Ryan Johansen,27,"Vancouver, BC",Canada,,,,,,D,64
486,Marcus Johansson,29,Landskrona,Sweden,,,,,,D,27
487,Marcus Johansson,29,Landskrona,Sweden,,,,,,C,3
488,Adam Johnson,25,"Hibbing, MN",USA,,,,,,RW,2
489,Chad Johnson,33,"Saskatoon, SK",Canada,,,,,,RW,0
490,Chad Johnson,33,"Saskatoon, SK",Canada,,,,,,C,0
491,Erik Johnson,32,"Bloomington, MN",USA,,,,,,C,25
492,Jack Johnson,33,"Indianapolis, IN",USA,,,,,,C,13
493,Luke Johnson,25,"Grand Forks, ND",USA,,,,,,LW,1
494,Tyler Johnson,29,"Spokane, WA",USA,,,,,,C,47
495,Andreas Johnsson,25,Gävle,Sweden,,,,,,C,43
496,Ross Johnston,26,"Charlottetown, PE",Canada,,,,,,D,4
497,Henri Jokiharju,20,Oulu,Finland,,,,,,D,12
498,Caleb Jones,22,"Arlington, TX",USA,,,,,,C,6
499,Martin Jones,30,"North Vancouver, BC",Canada,,,,,,RW,1
500,Max Jones,22,"Rochester, MI",USA,,,,,,LW,7
501,Seth Jones,25,"Arlington, TX",USA,,,,,,C,46
502,Mathieu Joseph,23,"Chambly, QC",Canada,,,,,,RW,26
503,Roman Josi,29,Bern,Switzerland,,,,,,D,57
504,Tyson Jost,22,"St. Albert, AB",Canada,,,,,,D,26
505,Noah Juulsen,23,"Abbotsford, BC",Canada,,,,,,D,5
506,Nazem Kadri,29,"London, ON",Canada,,,,,,C,44
507,Dominik Kahun,24,Plana,Czech Republic,,,,,,LW,38
508,Vladislav Kamenev,23,Orsk,Russia,,,,,,LW,5
509,David Kampf,25,Chomutov,Czech Republic,,,,,,C,20
510,Steven Kampfer,31,"Ann Arbor, MI",USA,,,,,,C,6
511,Evander Kane,28,"Vancouver, BC",Canada,,,,,,D,58
512,Patrick Kane,31,"Buffalo, NY",USA,,,,,,C,112
513,Kasperi Kapanen,23,Kuopio,Finland,,,,,,RW,44
514,Erik Karlsson,29,Landsbro,Sweden,,,,,,LW,46
515,Melker Karlsson,29,Lycksele,Sweden,,,,,,D,17
516,William Karlsson,27,Marsta,Sweden,,,,,,RW,56
517,Ondrej Kase,24,Kadan,Czech Republic,,,,,,D,20
518,Zack Kassian,29,"Windsor, ON",Canada,,,,,,RW,26
519,Brady Keeper,23,"Cross Lake, MB",Canada,,,,,,LW,0
520,Duncan Keith,36,"Winnipeg, MB",Canada,,,,,,RW,41
521,Clayton Keller,21,"Chesterfield, MO",USA,,,,,,C,47
522,Adrian Kempe,23,Kramfors,Sweden,,,,,,D,28
523,Mario Kempe,31,Kramfors,Sweden,,,,,,D,9
524,Michal Kempny,29,Hodonin,Czech Republic,,,,,,C,25
525,Alexander Kerfoot,25,"Vancouver, BC",Canada,,,,,,D,42
526,Ryan Kesler,35,"Livonia, MI",USA,,,,,,C,8
527,Phil Kessel,32,"Madison, WI",USA,,,,,,D,85
528,Jujhar Khaira,25,"Surrey, BC",Canada,,,,,,C,18
529,Anton Khudobin,33,Ust-Kamenogorsk,Kazakhstan,,,,,,D,0
530,Alex Killorn,30,"Halifax, NS",Canada,,,,,,LW,40
531,Keith Kinkaid,30,"Farmingville, NY",USA,,,,,,LW,0
532,Bogdan Kiselevich,30,Cherepovets,Russia,,,,,,C,8
533,Oscar Klefbom,26,Karlstad,Sweden,,,,,,LW,29
534,John Klingberg,27,Gothenburg,Sweden,,,,,,LW,45
535,Justin Kloos,26,"Lakeville, MN",USA,,,,,,LW,0
536,Corban Knight,29,"Oliver, BC",Canada,,,,,,LW,4
537,Slater Koekkoek,26,"Winchester, ON",Canada,,,,,,LW,1
538,Slater Koekkoek,26,"Winchester, ON",Canada,,,,,,LW,6
539,Mikko Koivu,37,Turku,Finland,,,,,,C,29
540,Leo Komarov,33,Narva,Estonia,,,,,,D,26
541,Travis Konecny,23,"London, ON",Canada,,,,,,C,50
542,Anze Kopitar,32,Jesenice,Slovenia,,,,,,C,62
543,Joonas Korpisalo,25,Pori,Finland,,,,,,D,0
544,Mikko Koskinen,31,Vantaa,Finland,,,,,,C,2
545,Kalle Kossila,27,Kauniainen,Finland,,,,,,LW,1
546,Jesperi Kotkaniemi,19,Pori,Finland,,,,,,LW,34
547,Ilya Kovalchuk,36,Tver,Russia,,,,,,LW,36
548,Chris Kreider,28,"Boxford, MA",USA,,,,,,D,53
549,David Krejci,33,Sternberk,Czech Republic,,,,,,D,73
550,Niklas Kronwall,39,Stockholm,Sweden,,,,,,D,27
551,Torey Krug,29,"Livonia, MI",USA,,,,,,C,53
552,Marcus Kruger,29,Stockholm,Sweden,,,,,,D,12
553,Nikita Kucherov,26,Maykop,Russia,,,,,,C,128
554,Darcy Kuemper,29,"Saskatoon, SK",Canada,,,,,,C,2
555,Ryan Kuffner,23,"Ottawa, ON",Canada,,,,,,C,0
556,Karson Kuhlman,24,"Duluth, MN",USA,,,,,,C,5
557,Tom Kuhnhackl,28,Landshut,Germany,,,,,,LW,9
558,Dean Kukan,26,Volketswil,Switzerland,,,,,,D,5
559,Brett Kulak,26,"Edmonton, AB",Canada,,,,,,D,17
560,Dmitry Kulikov,29,Lipetsk,Russia,,,,,,LW,6
561,Luke Kunin,22,"Chesterfield, MO",USA,,,,,,LW,17
562,Chris Kunitz,40,"Regina, SK",Canada,,,,,,RW,11
563,Janne Kuokkanen,21,Oulunsalo,Finland,,,,,,C,0
564,Sean Kuraly,27,"Dublin, OH",USA,,,,,,D,21
565,Evgeny Kuznetsov,27,Chelyabinsk,Russia,,,,,,D,72
566,Oliver Kylington,22,Stockholm,Sweden,,,,,,D,10
567,Jordan Kyrou,21,"Toronto, ON",Canada,,,,,,D,3
568,Kevin Labanc,24,"Brooklyn, NY",USA,,,,,,D,57
569,Andrew Ladd,34,"Maple Ridge, BC",Canada,,,,,,LW,11
570,Paul LaDue,27,"Grand Forks, ND",USA,,,,,,C,5
571,Maxime Lagace,27,"Saint-Augustin, QC",Canada,,,,,,C,0
572,Patrik Laine,21,Tampere,Finland,,,,,,C,50
573,Maxime Lajoie,22,"Quebec City, QC",Canada,,,,,,RW,15
574,Juho Lammikko,24,Noormarkku,Finland,,,,,,D,6
575,Gabriel Landeskog,27,Stockholm,Sweden,,,,,,C,75
576,Nick Lappin,27,"Geneva, IL",USA,,,,,,C,0
577,Dylan Larkin,23,"Waterford, MI",USA,,,,,,C,73
578,Adam Larsson,27,Skellefteå,Sweden,,,,,,C,20
579,Jacob Larsson,22,Ljungby,Sweden,,,,,,LW,5
580,Johan Larsson,27,Lau,Sweden,,,,,,D,14
581,Brian Lashoff,29,"Albany, NY",USA,,,,,,D,1
582,Scott Laughton,25,"Oakville, ON",Canada,,,,,,D,34
583,Jeremy Lauzon,22,"Val D'or, QC",Canada,,,,,,RW,1
584,Curtis Lazar,25,"Salmon Arm, BC",Canada,,,,,,LW,0
585,Nick Leddy,29,"Eden Prairie, MN",USA,,,,,,C,26
586,Anders Lee,29,"Edina, MN",USA,,,,,,D,51
587,Artturi Lehkonen,24,Piikkio,Finland,,,,,,C,31
588,Robin Lehner,28,Gothenburg,Sweden,,,,,,RW,1
589,Jori Lehtera,32,Helsinki,Finland,,,,,,C,3
590,Brendan Leipsic,25,"Winnipeg, MB",Canada,,,,,,LW,5
591,Brendan Leipsic,25,"Winnipeg, MB",Canada,,,,,,LW,18
592,Josh Leivo,26,"Innisfil, ON",Canada,,,,,,LW,6
593,Josh Leivo,26,"Innisfil, ON",Canada,,,,,,D,18
594,Brendan Lemieux,24,"Denver, CO",USA,,,,,,LW,12
595,Brendan Lemieux,24,"Denver, CO",USA,,,,,,LW,6
596,Joel L'Esperance,24,"Brighton, MI",USA,,,,,,D,3
597,Kris Letang,32,"Montreal, QC",Canada,,,,,,C,56
598,Mark Letestu,35,"Elk Point, AB",Canada,,,,,,D,0
599,Vinni Lettieri,25,"Excelsior, MN",USA,,,,,,D,3
600,Tyler Lewington,25,"Edmonton, AB",Canada,,,,,,D,2
601,Trevor Lewis,33,"Salt Lake City, UT",USA,,,,,,C,12
602,Oscar Lindberg,28,Skellefteå,Sweden,,,,,,C,12
603,Oscar Lindberg,28,Skellefteå,Sweden,,,,,,LW,8
604,Oskar Lindblom,23,Gävle,Sweden,,,,,,D,34
605,Esa Lindell,25,Vantaa,Finland,,,,,,C,32
606,Charlie Lindgren,26,"Lakeville, MN",USA,,,,,,D,0
607,Ryan Lindgren,22,"Burnsville, MN",USA,,,,,,LW,0
608,Anton Lindholm,25,Skelleftea,Sweden,,,,,,LW,0
609,Elias Lindholm,25,Boden,Sweden,,,,,,D,80
610,Hampus Lindholm,26,Helsingborg,Sweden,,,,,,C,28
611,Par Lindholm,28,Kusmark,Sweden,,,,,,LW,12
612,Par Lindholm,28,Kusmark,Sweden,,,,,,LW,1
613,Bryan Little,32,"Edmonton, AB",Canada,,,,,,C,41
614,Blake Lizotte,22,"Lindstrom, MN",USA,,,,,,D,0
615,Ryan Lomberg,25,"Richmond Hill, ON",Canada,,,,,,D,0
616,Ben Lovejoy,36,"Concord, NH",USA,,,,,,D,7
617,Ben Lovejoy,36,"Concord, NH",USA,,,,,,C,2
618,Adam Lowry,27,"St. Louis, MO",USA,,,,,,D,23
619,Milan Lucic,31,"Vancouver, BC",Canada,,,,,,RW,20
620,Matt Luff,22,"Oakville, ON",Canada,,,,,,D,11
621,Isac Lundestrom,20,Gallivare,Sweden,,,,,,D,2
622,Henrik Lundqvist,38,Are,Sweden,,,,,,D,3
623,Roberto Luongo,41,"Montreal, QC",Canada,,,,,,D,1
624,Alex Lyon,27,"Baudette, MN",USA,,,,,,D,0
625,Ilya Lyubushkin,26,Moscow,Russia,,,,,,LW,4
626,Olli Maatta,25,Jyväskylä,Finland,,,,,,D,15
627,Kurtis MacDermid,26,"Sauble Beach, ON",Canada,,,,,,C,1
628,Andrew MacDonald,33,"Judique, NS",Canada,,,,,,D,9
629,Jacob MacDonald,27,"Portland, OR",USA,,,,,,C,1
630,Mackenzie MacEachern,26,"Bloomfield Hills, MI",USA,,,,,,C,5
631,Zack MacEwen,23,"Charlottetown, PE",Canada,,,,,,D,1
632,Derek MacKenzie,38,"Sudbury, ON",Canada,,,,,,D,0
633,Nathan MacKinnon,24,"Halifax, NS",Canada,,,,,,D,99
634,Saku Maenalanen,25,Kemi,Finland,,,,,,LW,8
635,Josh Mahura,21,"St. Albert, AB",Canada,,,,,,D,6
636,Denis Malgin,23,Olten,Switzerland,,,,,,D,16
637,Evgeni Malkin,33,Magnitogorsk,Russia,,,,,,D,73
638,Brad Malone,30,"Chatham, NB",Canada,,,,,,C,0
639,Maxim Mamin,25,Moscow,Russia,,,,,,D,0
640,Andrew Mangiapane,24,"Toronto, ON",Canada,,,,,,D,13
641,Brandon Manning,29,"Prince George, BC",Canada,,,,,,D,3
642,Brandon Manning,29,"Prince George, BC",Canada,,,,,,D,1
643,Josh Manson,28,"Hinsdale, IL",USA,,,,,,D,17
644,Anthony Mantha,25,"Longueuil, QC",Canada,,,,,,D,48
645,Brad Marchand,31,"Halifax, NS",Canada,,,,,,D,100
646,Jonathan Marchessault,29,"Cap-Rouge, QC",Canada,,,,,,D,60
647,Martin Marincin,28,Kosice,Slovakia,,,,,,D,5
648,Jacob Markstrom,30,Gävle,Sweden,,,,,,D,3
649,Patrick Marleau,40,"Aneroid, SK",Canada,,,,,,C,37
650,Mitchell Marner,22,"Markham, ON",Canada,,,,,,C,94
651,Cooper Marody,23,"Brighton, MI",USA,,,,,,LW,0
652,Pat Maroon,31,"St. Louis, MO",USA,,,,,,C,29
653,Danick Martel,25,"Drummondville, QC",Canada,,,,,,C,2
654,Matt Martin,30,"Windsor, ON",Canada,,,,,,D,14
655,Alec Martinez,32,"Rochester Hills, MI",USA,,,,,,D,18
656,Jordan Martinook,27,"Brandon, MB",Canada,,,,,,RW,25
657,Andreas Martinsen,29,Bærum,Norway,,,,,,RW,4
658,Mike Matheson,26,"Pointe-Claire, QC",Canada,,,,,,RW,27
659,Auston Matthews,22,"San Ramon, CA",USA,,,,,,C,73
660,Scott Mayfield,27,"St. Louis, MO",USA,,,,,,LW,19
661,Charlie McAvoy,22,"Long Beach, NY",USA,,,,,,C,28
662,Jake McCabe,26,"Eau Claire, WI",USA,,,,,,D,14
663,Jared McCann,23,"Stratford, ON",Canada,,,,,,C,18
664,Jared McCann,23,"Stratford, ON",Canada,,,,,,D,17
665,Max McCormick,27,"De Pere, WI",USA,,,,,,RW,1
666,Ian McCoshen,24,"Anaheim, CA",USA,,,,,,D,2
667,Connor McDavid,23,"Richmond Hill, ON",Canada,,,,,,C,116
668,Ryan McDonagh,30,"St. Paul, MN",USA,,,,,,C,46
669,Curtis McElhinney,36,"London, ON",Canada,,,,,,LW,0
670,Brock McGinn,26,"Fergus, ON",Canada,,,,,,C,26
671,Jamie McGinn,31,"Fergus, ON",Canada,,,,,,D,7
672,Dylan McIlrath,27,"Winnipeg, MB",Canada,,,,,,D,0
673,Greg McKegg,27,"St. Thomas, ON",Canada,,,,,,RW,11
674,Mike McKenna,37,"St. Louis, MO",USA,,,,,,RW,0
675,Mike McKenna,37,"St. Louis, MO",USA,,,,,,C,0
676,Cody McLeod,35,"Binscarth, MB",Canada,,,,,,C,1
677,Cody McLeod,35,"Binscarth, MB",Canada,,,,,,RW,0
678,Michael McLeod,22,"Mississauga, ON",Canada,,,,,,D,4
679,Brayden McNabb,29,"Davidson, SK",Canada,,,,,,RW,16
680,Adam McQuaid,33,"Charlottetown, PE",Canada,,,,,,D,5
681,Adam McQuaid,33,"Charlottetown, PE",Canada,,,,,,D,2
682,Wade Megan,29,"Canton, NY",USA,,,,,,LW,1
683,Jaycob Megna,27,"Plantation, FL",USA,,,,,,C,4
684,Timo Meier,23,Herisau,Switzerland,,,,,,C,66
685,Dakota Mermis,26,"Alton, IL",USA,,,,,,D,0
686,Jon Merrill,28,"Oklahoma City, OK",USA,,,,,,D,15
687,Victor Mete,21,"Woodbridge, ON",Canada,,,,,,RW,13
688,Marc Methot,34,"Ottawa, ON",Canada,,,,,,D,0
689,Jacob Middleton,24,"Wainwright, AB",Canada,,,,,,LW,1
690,Sonny Milano,23,"Massapequa, NY",USA,,,,,,D,1
691,Colin Miller,27,"Sault Ste. Marie, ON",Canada,,,,,,LW,29
692,J.T. Miller,27,"East Palestine, OH",USA,,,,,,LW,47
693,Kevan Miller,32,"Los Angeles, CA",USA,,,,,,C,7
694,Ryan Miller,39,"East Lansing, MI",USA,,,,,,LW,0
695,Hunter Miska,24,"Stacy, MN",USA,,,,,,RW,0
696,Casey Mittelstadt,21,"Edina, MN",USA,,,,,,C,25
697,Sean Monahan,25,"Brampton, ON",Canada,,,,,,RW,84
698,Sam Montembeault,23,"Becancour, QC",Canada,,,,,,C,1
699,Brandon Montour,26,"Brantford, ON",Canada,,,,,,D,25
700,Brandon Montour,26,"Brantford, ON",Canada,,,,,,LW,10
701,John Moore,29,"Winnetka, IL",USA,,,,,,RW,13
702,Trevor Moore,25,"Thousand Oaks, CA",USA,,,,,,D,8
703,Samuel Morin,24,"Lac-Beauport, QC",Canada,,,,,,C,0
704,Josh Morrissey,25,"Calgary, AB",Canada,,,,,,LW,31
705,Joe Morrow,27,"Edmonton, AB",Canada,,,,,,C,7
706,Tyler Motte,25,"St. Clair, MI",USA,,,,,,LW,16
707,Petr Mrazek,28,Ostrava,Czech Republic,,,,,,LW,1
708,Mirco Mueller,25,Winterthur,Switzerland,,,,,,LW,11
709,Connor Murphy,27,"Dublin, OH",USA,,,,,,C,13
710,Ryan Murphy,27,"Aurora, ON",Canada,,,,,,D,0
711,Ryan Murphy,27,"Aurora, ON",Canada,,,,,,RW,1
712,Matt Murray,25,"Thunder Bay, ON",Canada,,,,,,LW,0
713,Ryan Murray,26,"Regina, SK",Canada,,,,,,LW,29
714,Jake Muzzin,31,"Woodstock, ON",Canada,,,,,,C,21
715,Jake Muzzin,31,"Woodstock, ON",Canada,,,,,,LW,16
716,Philippe Myers,23,"Moncton, NB",Canada,,,,,,RW,2
717,Tyler Myers,30,"Houston, TX",USA,,,,,,D,31
718,Tyler Myers,30,"Houston, TX",USA,,,,,,LW,0
719,Vladislav Namestnikov,27,Zhukovskiy,Russia,,,,,,LW,31
720,Riley Nash,30,"Consort, AB",Canada,,,,,,D,12
721,James Neal,32,"Whitby, ON",Canada,,,,,,D,19
722,Martin Necas,21,Nove Mesto na Morave,Czech Republic,,,,,,D,2
723,Alex Nedeljkovic,24,"Parma, OH",USA,,,,,,C,0
724,Brock Nelson,28,"Warroad, MN",USA,,,,,,D,53
725,Casey Nelson,27,"Stillwater, MN",USA,,,,,,D,6
726,Patrik Nemeth,28,Stockholm,Sweden,,,,,,D,10
727,Michal Neuvirth,32,Ústí nad Labem,Czech Republic,,,,,,LW,0
728,Valeri Nichushkin,25,Chelyabinsk,Russia,,,,,,D,10
729,Nino Niederreiter,27,Chur,Switzerland,,,,,,D,23
730,Nino Niederreiter,27,Chur,Switzerland,,,,,,D,31
731,Frans Nielsen,35,Herning,Denmark,,,,,,C,35
732,Antti Niemi,36,Vantaa,Finland,,,,,,C,1
733,Matt Nieto,27,"Long Beach, CA",USA,,,,,,C,23
734,Cristoval Nieves,26,"Syracuse, NY",USA,,,,,,C,10
735,Sami Niku,23,Haapavesi,Finland,,,,,,C,4
736,Anders Nilsson,30,Lulea,Sweden,,,,,,C,0
737,Anders Nilsson,30,Lulea,Sweden,,,,,,D,1
738,Jacob Nilsson,26,Solvesborg,Sweden,,,,,,RW,0
739,Matt Niskanen,33,"Virginia, MN",USA,,,,,,D,25
740,Stefan Noesen,27,"Plano, TX",USA,,,,,,D,8
741,Nelson Nogier,23,"Saskatoon, SK",Canada,,,,,,D,0
742,Jordan Nolan,30,"Garden River, ON",Canada,,,,,,D,2
743,Joakim Nordstrom,28,Stockholm,Sweden,,,,,,LW,12
744,Tomas Nosek,27,Pardubice,Czech Republic,,,,,,RW,17
745,Ryan Nugent-Hopkins,27,"Burnaby, BC",Canada,,,,,,D,71
746,Darnell Nurse,25,"Hamilton, ON",Canada,,,,,,LW,42
747,Markus Nutivaara,25,Oulu,Finland,,,,,,D,21
748,Alex Nylander,22,"Calgary, AB",Canada,,,,,,C,4
749,William Nylander,23,"Calgary, AB",Canada,,,,,,C,27
750,Gustav Nyquist,30,Halmstad,Sweden,,,,,,C,49
751,Gustav Nyquist,30,Halmstad,Sweden,,,,,,RW,11
752,Logan O'Connor,23,"Missouri City, TX",USA,,,,,,D,0
753,Jordan Oesterle,27,"Dearborn Heights, MI",USA,,,,,,LW,20
754,Kyle Okposo,31,"St. Paul, MN",USA,,,,,,C,30
755,Jamie Oleksiak,27,"Toronto, ON",Canada,,,,,,RW,11
756,Jamie Oleksiak,27,"Toronto, ON",Canada,,,,,,C,1
757,Victor Olofsson,24,Ornskoldsvik,Sweden,,,,,,C,6
758,Daniel O'Regan,26,Berlin,Germany,,,,,,C,0
759,Ryan O'Reilly,29,"Clinton, ON",Canada,,,,,,RW,78
760,Dmitry Orlov,28,Novokuznetsk,Russia,,,,,,C,29
761,Brooks Orpik,39,"San Francisco, CA",USA,,,,,,RW,9
762,T.J. Oshie,33,"Everett, WA",USA,,,,,,RW,54
763,Xavier Ouellet,26,Bayonne,France,,,,,,D,3
764,Alex Ovechkin,34,Moscow,Russia,,,,,,C,89
765,Igor Ozhiganov,27,Krasnogorsk,Russia,,,,,,RW,7
766,Magnus Paajarvi,29,Norrkoping,Sweden,,,,,,C,19
767,Max Pacioretty,31,"New Canaan, CT",USA,,,,,,RW,40
768,Jean-Gabriel Pageau,27,"Ottawa, ON",Canada,,,,,,RW,13
769,Ondrej Palat,29,Frydek-Mistek,Czech Republic,,,,,,D,34
770,Kyle Palmieri,29,"Smithtown, NY",USA,,,,,,D,50
771,Artemi Panarin,28,Korkino,Russia,,,,,,LW,88
772,Richard Panik,29,Martin,Slovakia,,,,,,D,33
773,Cedric Paquette,26,"Gaspe, QC",Canada,,,,,,RW,17
774,Colton Parayko,26,"St. Albert, AB",Canada,,,,,,LW,28
775,Zach Parise,35,"Minneapolis, MN",USA,,,,,,LW,61
776,Edward Pasquale,29,"Tornoto, ON",Canada,,,,,,RW,0
777,David Pastrnak,23,Havirov,Czech Republic,,,,,,LW,81
778,Greg Pateryn,29,"Sterling Heights, MI",USA,,,,,,C,7
779,Nolan Patrick,21,"Winnipeg, MB",Canada,,,,,,D,31
780,Nick Paul,25,"Mississauga, ON",Canada,,,,,,C,2
781,Joe Pavelski,35,"Plover, WI",USA,,,,,,LW,66
782,Tanner Pearson,27,"Kitchener, ON",Canada,,,,,,RW,1
783,Tanner Pearson,27,"Kitchener, ON",Canada,,,,,,LW,14
784,Tanner Pearson,27,"Kitchener, ON",Canada,,,,,,LW,12
785,Matthew Peca,26,"Petawawa, ON",Canada,,,,,,C,10
786,Adam Pelech,25,"Toronto, ON",Canada,,,,,,D,21
787,Anthony Peluso,30,"Barrie, ON",Canada,,,,,,D,0
788,Brendan Perlini,23,Guildford,GBR,,,,,,RW,6
789,Brendan Perlini,23,Guildford,GBR,,,,,,RW,15
790,Mathieu Perreault,32,"Drummondville, QC",Canada,,,,,,D,31
791,David Perron,31,"Sherbrooke, QC",Canada,,,,,,D,48
