,Name,Birth City,Birth Country,Birth Lat,Birth Lng,College,College Lat,College Lng
960,Eric Staal,"Thunder Bay, ON",Canada,,,,,
961,Jordan Staal,"Thunder Bay, ON",Canada,,,,,
962,Marc Staal,"Thunder Bay, ON",Canada,,,,,
963,Drew Stafford,"Milwaukee, WI",USA,,,,,
964,Alex Stalock,"St. Paul, MN",USA,,,,,
965,Steven Stamkos,"Markham, ON",Canada,,,,,
966,Paul Stastny,"Quebec City, QC",Canada,,,,,
967,Troy Stecher,"Richmond, BC",Canada,,,,,
968,Sam Steel,"Ardrossan, AB",Canada,,,,,
969,Alexander Steen,"Winnipeg, MB",Canada,,,,,
970,Lee Stempniak,"West Seneca, NY",USA,,,,,
971,Kevin Stenlund,Stockholm,Sweden,,,,,
972,Derek Stepan,"Hastings, MN",USA,,,,,
973,Chandler Stephenson,"Saskatoon, SK",Canada,,,,,
974,Riley Stillman,"Peterborough, ON",Canada,,,,,
975,Anthony Stolarz,"Edison, NJ",USA,,,,,
976,Anthony Stolarz,"Edison, NJ",USA,,,,,
977,Mark Stone,"Winnipeg, MB",Canada,,,,,
978,Mark Stone,"Winnipeg, MB",Canada,,,,,
979,Michael Stone,"Winnipeg, MB",Canada,,,,,
980,Anton Stralman,Tibro,Sweden,,,,,
981,Ben Street,"Coquitlam, BC",Canada,,,,,
982,Dylan Strome,"Mississauga, ON",Canada,,,,,
983,Dylan Strome,"Mississauga, ON",Canada,,,,,
984,Ryan Strome,"Mississauga, ON",Canada,,,,,
985,Ryan Strome,"Mississauga, ON",Canada,,,,,
986,Nico Sturm,Augsburg,Germany,,,,,
987,Malcolm Subban,"Toronto, ON",Canada,,,,,
988,P.K. Subban,"Toronto, ON",Canada,,,,,
989,Libor Sulak,Pelhrimov,Czech Republic,,,,,
990,Oskar Sundqvist,Boden,Sweden,,,,,
991,Antti Suomela,Espoo,Finland,,,,,
992,Andrej Sustr,Plzen,Czech Republic,,,,,
993,Ryan Suter,"Madison, WI",USA,,,,,
994,Brandon Sutter,"Huntington, NY",USA,,,,,
995,Andrei Svechnikov,Barnaul,Russia,,,,,
996,Cam Talbot,"Caledonia, ON",Canada,,,,,
997,Cam Talbot,"Caledonia, ON",Canada,,,,,
998,Brandon Tanev,"Toronto, ON",Canada,,,,,
999,Christopher Tanev,"Toronto, ON",Canada,,,,,
1000,Eric Tangradi,"Philadelphia, PA",USA,,,,,
1001,Vladimir Tarasenko,Yaroslavl,Russia,,,,,
1002,Tomas Tatar,Ilava,Slovakia,,,,,
1003,John Tavares,"Mississauga, ON",Canada,,,,,
1004,Matt Tennyson,"Minneapolis, MN",USA,,,,,
1005,Teuvo Teravainen,Helsinki,Finland,,,,,
1006,Troy Terry,"Denver, CO",USA,,,,,
1007,Josh Teves,"Calgary, AB",Canada,,,,,
1008,Alexandre Texier,St. Martin D'heres,France,,,,,
1009,Shea Theodore,"Langley, BC",Canada,,,,,
1010,Robert Thomas,"Aurora, ON",Canada,,,,,
1011,Nate Thompson,"Anchorage, AK",USA,,,,,
1012,Nate Thompson,"Anchorage, AK",USA,,,,,
1013,Tage Thompson,"Phoenix, AZ",USA,,,,,
1014,Chris Thorburn,"Sault Ste. Marie, ON",Canada,,,,,
1015,Joe Thornton,"London, ON",Canada,,,,,
1016,Chris Tierney,"Keswick, ON",Canada,,,,,
1017,Brady Tkachuk,"Scottsdale, AZ",USA,,,,,
1018,Matthew Tkachuk,"Scottsdale, AZ",USA,,,,,
1019,Devon Toews,"Abbotsford, BC",Canada,,,,,
1020,Jonathan Toews,"Winnipeg, MB",Canada,,,,,
1021,Tyler Toffoli,"Scarborough, ON",Canada,,,,,
1022,Eeli Tolvanen,Vihti,Finland,,,,,
1023,Dominic Toninato,"Duluth, MN",USA,,,,,
1024,Vincent Trocheck,"Pittsburgh, PA",USA,,,,,
1025,Zach Trotman,"Carmel, IN",USA,,,,,
1026,Jacob Trouba,"Rochester, MI",USA,,,,,
1027,Alex Tuch,"Syracuse, NY",USA,,,,,
1028,Dominic Turgeon,"Pointe-Claire, QC",Canada,,,,,
1029,Kyle Turris,"New Westminster, BC",Canada,,,,,
1030,Linus Ullmark,Lugnvik,Sweden,,,,,
1031,Urho Vaakanainen,Joensuu,Finland,,,,,
1032,Juuso Valimaki,Tampere,Finland,,,,,
1033,Thomas Vanek,Vienna,Austria,,,,,
1034,James van Riemsdyk,"Middletown, NJ",USA,,,,,
1035,Trevor van Riemsdyk,"Middletown, NJ",USA,,,,,
1036,Semyon Varlamov,Samara,Russia,,,,,
1037,Philip Varone,"Vaughan, ON",Canada,,,,,
1038,Andrei Vasilevskiy,Tyumen,Russia,,,,,
1039,Sami Vatanen,Jyväskylä,Finland,,,,,
1040,Frank Vatrano,"East Longmeadow, MA",USA,,,,,
1041,Max Veronneau,"Ottawa, ON",Canada,,,,,
1042,Kristian Vesalainen,Helsinki,Finland,,,,,
1043,Jimmy Vesey,"Boston, MA",USA,,,,,
1044,Jake Virtanen,"Langley, BC",Canada,,,,,
1045,Marc-Edouard Vlasic,"Montreal, QC",Canada,,,,,
1046,Jakub Voracek,Kladno,Czech Republic,,,,,
1047,Mikhail Vorobyev,Ufa,Russia,,,,,
1048,Jakub Vrana,Prague,Czech Republic,,,,,
1049,Austin Wagner,"Calgary, AB",Canada,,,,,
1050,Chris Wagner,"Walpole, MA",USA,,,,,
1051,Nathan Walker,Cardiff,England,,,,,
1052,Sean Walker,"Keswick, ON",Canada,,,,,
1053,Lucas Wallmark,Umea,Sweden,,,,,
1054,Cam Ward,"Saskatoon, SK",Canada,,,,,
1055,Austin Watson,"Ann Arbor, MI",USA,,,,,
1056,Jordan Weal,"North Vancouver, BC",Canada,,,,,
1057,Jordan Weal,"North Vancouver, BC",Canada,,,,,
1058,Jordan Weal,"North Vancouver, BC",Canada,,,,,
1059,Shea Weber,"Sicamous, BC",Canada,,,,,
1060,Yannick Weber,Morges,Switzerland,,,,,
1061,MacKenzie Weegar,"Ottawa, ON",Canada,,,,,
1062,Dale Weise,"Winnipeg, MB",Canada,,,,,
1063,Dale Weise,"Winnipeg, MB",Canada,,,,,
1064,Andy Welinski,"Duluth, MN",USA,,,,,
1065,Alexander Wennberg,Stockholm,Sweden,,,,,
1066,Zach Werenski,"Grosse Pointe, MI",USA,,,,,
1067,Blake Wheeler,"Plymouth, MN",USA,,,,,
1068,Colin White,"Boston, MA",USA,,,,,
1069,Colton White,"London, ON",Canada,,,,,
1070,Chris Wideman,"St. Louis, MO",USA,,,,,
1071,Chris Wideman,"St. Louis, MO",USA,,,,,
1072,Chris Wideman,"St. Louis, MO",USA,,,,,
1073,Justin Williams,"Cobourg, ON",Canada,,,,,
1074,Colin Wilson,"Greenwich, CT",USA,,,,,
1075,Garrett Wilson,"Barrie, ON",Canada,,,,,
1076,Scott Wilson,"Oakville, ON",Canada,,,,,
1077,Tom Wilson,"Toronto, ON",Canada,,,,,
1078,Luke Witkowski,"Holland, MI",USA,,,,,
1079,Christian Wolanin,"Quebec City, QC",Canada,,,,,
1080,Miles Wood,"Buffalo, NY",USA,,,,,
1081,Egor Yakovlev,Magnitogorsk,Russia,,,,,
1082,Kailer Yamamoto,"Spokane, WA",USA,,,,,
1083,Keith Yandle,"Boston, MA",USA,,,,,
1084,Pavel Zacha,Brno,Czech Republic,,,,,
1085,Filip Zadina,Pardubice,Czech Republic,,,,,
1086,Nikita Zadorov,Moscow,Russia,,,,,
1087,Nikita Zaitsev,Moscow,Russia,,,,,
1088,Travis Zajac,"Winnipeg, MB",Canada,,,,,
1089,Jakub Zboril,Brno,Czech Republic,,,,,
1090,Mika Zibanejad,Huddinge,Sweden,,,,,
1091,Mats Zuccarello,Oslo,Norway,,,,,
1092,Mats Zuccarello,Oslo,Norway,,,,,
1093,Jason Zucker,"Newport Beach, CA",USA,,,,,
1094,Valentin Zykov,St. Petersburg,Russia,,,,,
1095,Valentin Zykov,St. Petersburg,Russia,,,,,
1096,Valentin Zykov,St. Petersburg,Russia,,,,,
1097,Rodrigo Abols,Riga,Latvia,,,,,
1098,Sebastian Aho,Umea,Sweden,,,,,
1099,John Albert,"Cleveland, OH",USA,,,,,
1100,Frederic Allard,"St. Sauveur, QC",Canada,,,,,
1101,Sam Anas,"Potomac, MD",USA,,,,,
1102,Mikey Anderson,"Fridley, MN",USA,,,,,
1103,Andy Andreoff,"Pickering, ON",Canada,,,,,
1104,Anthony Angello,"Albany, NY",USA,,,,,
1105,Victor Antipin,Ust-Kamenogorsk,Kazakhstan,,,,,
1106,Jonathan Aspirot,"Mascouche, QC",Canada,,,,,
1107,Rasmus Asplund,Filipstad,Finland,,,,,
1108,Riley Barber,"Pittsburgh, PA",USA,,,,,
1109,Cole Bardreau,"Fairport, NY",USA,,,,,
1110,Cody Bass,"Owen sound, ON",Canada,,,,,
1111,Kyle Bauman,"Apopka, FL",USA,,,,,
1112,Ethan Bear,"Regina, SK",Canada,,,,,
1113,Nicolas Beaudin,"Chateauguay, QC",Canada,,,,,
1114,Jack Becker,"Duluth, MN",USA,,,,,
1115,Kieffer Bellows,"Edina, MN",USA,,,,,
1116,Emil Bemstrom,Nykoping,Sweden,,,,,
1117,Andre Benoit,"St. Albert, ON",Canada,,,,,
1118,Simon Benoit,"Laval, QC",USA,,,,,
1119,Tyler Benson,"Edmonton, AB",Canada,,,,,
1120,Mikhail Berdin,Ufa,Russia,,,,,
1121,Lean Bergmann,Hemer,Germany,,,,,
1122,Jacob Bernard-Docker,"Banff, AB",Canada,,,,,
1123,Steve Bernier,"Quebec, QC",Canada,,,,,
1124,Jean-Francois Berube,"Repentigny, QC",Canada,,,,,
1125,Chris Bigras,"Orillia, ON",Canada,,,,,
1126,Jake Bischoff,"Cambridge, MN",USA,,,,,
1127,Paul Bittner,"Crookston, MN",USA,,,,,
1128,Tobias Bjornfot,Upplands Vasby,Sweden,,,,,
1129,Joachim Blichfeld,Frederikshavn,Denmark,,,,,
1130,Michael Blunden,"Toronto, ON",Canada,,,,,
1131,Adam Boqvist,Falun,Sweden,,,,,
1132,Jesper Boqvist,Falun,Sweden,,,,,
1133,Andreas Borgman,Stockholm,Sweden,,,,,
1134,Lance Bouma,"Provost, AB",Canada,,,,,
1135,Rene Bourque,"Lac La Biche, AB",Canada,,,,,
1136,Jeremy Bracco,"Freeport, NY",USA,,,,,
1137,Chris Breen,"Uxbridge, ON",Canada,,,,,
1138,Alex Broadhurst,"New Lenox, IL",USA,,,,,
1139,Terry Broadhurst,"Orland Park, IL",USA,,,,,
1140,Adam Brooks,"Winnipeg, MB",Canada,,,,,
1141,Patrick Brown,"Bloomfield Hills, MI",USA,,,,,
1142,Sergei Brylin,Moscow,Russia,,,,,
1143,Connor Bunnaman,"Guelph, ON",Canada,,,,,
1144,Brayden Burke,,,,,,,
1145,Alexander Burmistrov,Kazan,Russia,,,,,
1146,Nicholas Caamano,"Ancaster, ON",Canada,,,,,
1147,Mike Cammalleri,"Toronto, ON",Canada,,,,,
1148,Patrick Cannone,"Bayport, NY",USA,,,,,
1149,Michael Carcone,"Ajax, ON",Canada,,,,,
1150,Greg Carey,"Hamilton, ON",Canada,,,,,
1151,Matt Carkner,"Winchester, ON",Canada,,,,,
1152,Lucas Carlsson,Gävle,Sweden,,,,,
1153,Alexandre Carrier,"Quebec, QC",Canada,,,,,
1154,Austin Carroll,"Phoenix, AZ",USA,,,,,
1155,Ivan Chekhovich,Yekaterinburg,Russia,,,,,
1156,Andrei Chibisov,,,,,,,
1157,Ivan Chukarov,"Des Plaines, IL",USA,,,,,
1158,Kale Clague,"Lloydminster, AB",Canada,,,,,
1159,Christopher Clapperton,"Chandler, QC",Canada,,,,,
1160,Chris Clark,"South Windsor, CT",USA,,,,,
1161,Kody Clark,"Chicago, IL",USA,,,,,
1162,Ryane Clowe,"St. John's, NL",Canada,,,,,
1163,Dylan Coghlan,"Nanaimo, BC",Canada,,,,,
1164,Ryan Collins,"Bloomington, MN",USA,,,,,
1165,Chris Conner,"Westland, MI",USA,,,,,
1166,Jared Coreau,"Perth, ON",Canada,,,,,
1167,Frank Corrado,"Woodbridge, ON",Canada,,,,,
1168,David Cotton,"Parker, TX",USA,,,,,
1169,Kyle Criscuolo,"Southampton, NJ",USA,,,,,
1170,Tommy Cross,"Simsbury, CT",USA,,,,,
1171,Kyle Cumiskey,"Abbotsford, BC",Canada,,,,,
1172,Craig Cunningham,"Trail, BC",Canada,,,,,
1173,Kevin Czuczman,"Port Elgin, ON",Canada,,,,,
1174,Kirby Dach,"Fort Saskatchewan, AB",Canada,,,,,
1175,Oscar Dansk,Stockholm,Sweden,,,,,
1176,Jonathan Davidsson,Tyreso,Sweden,,,,,
1177,Rob Davison,"St. Catharines, ON",Canada,,,,,
1178,Logan Day,"Seminole, FL",USA,,,,,
1179,David Desharnais,"Laurier-Station, QC",Canada,,,,,
1180,Nick DeSimone,"East Amherst, NY",USA,,,,,
1181,Philippe Desrosiers,"Saint-Hyacinthe, QC",Canada,,,,,
1182,Josh Dickinson,"Georgetown, ON",Canada,,,,,
1183,Josiah Didier,"Littleton, CO",USA,,,,,
1184,Emil Djuse,Skelleftea,Sweden,,,,,
1185,Noah Dobson,"Summerside, PE",Canada,,,,,
1186,Jacob Doty,"Billings, MT",USA,,,,,
1187,Jack Dougherty,"St. Paul, MN",USA,,,,,
1188,Chris Driedger,"Winnipeg, MB",Canada,,,,,
1189,Chris Drury,"Trumbull, CT",USA,,,,,
1190,Gabriel Dumont,"Degelis, QC",Canada,,,,,
1191,Sean Durzi,"Mississauga, ON",Canada,,,,,
1192,Joseph Duszak,"Franklin Square, NY",USA,,,,,
1193,Patrick Dwyer,"Spokane, WA",USA,,,,,
1194,Nick Ebert,"Livingston, NJ",USA,,,,,
1195,Turner Elson,"Edmonton, AB",Canada,,,,,
1196,Hudson Elynuik,"Calgary, AB",Canada,,,,,
1197,Alexei Emelin,Togliatti,Russia,,,,,
1198,Pierre Engvall,Ljungby,Sweden,,,,,
1199,Jake Evans,"Toronto, ON",Canada,,,,,
1200,Joel Farabee,"Syracuse, NY",USA,,,,,
1201,Hudson Fasching,"Milwaukee, WI",USA,,,,,
1202,Mark Fayne,"Nashua, NH",USA,,,,,
1203,Martin Fehervary,Bratislava,Slovakia,,,,,
1204,Dylan Ferguson,"Lantzville, BC",Canada,,,,,
1205,Mario Ferraro,"Toronto, ON",Canada,,,,,
1206,Giovanni Fiore,"Laval, QC",Canada,,,,,
1207,Mike Fisher,"Peterborough, ON",Canada,,,,,
1208,Cavan Fitzgerald,"Boston, MA",USA,,,,,
1209,Ryan Fitzgerald,"Fort Lauderdale, FL",USA,,,,,
1210,Cale Fleury,"Calgary, AB",Canada,,,,,
1211,Brian Flynn,"Lynnfield, MA",USA,,,,,
1212,Cal Foote,"Englewood, CO",USA,,,,,
1213,Anton Forsberg,Härnösand,Sweden,,,,,
1214,Adam Fox,"Jericho, NY",USA,,,,,
1215,Mitch Fritz,"Osoyoos, BC",Canada,,,,,
1216,Byron Froese,"Winkler, MB",Canada,,,,,
1217,Morgan Frost,"Aurora, ON",Canada,,,,,
1218,Jesse Gabrielle,"Edmonton, AB",Canada,,,,,
1219,Parker Gahagen,"Buffalo, NY",USA,,,,,
1220,Tyler Ganly,"Mississauga, ON",Canada,,,,,
1221,Rhett Gardner,"Moose Jaw, SK",Canada,,,,,
1222,Julien Gauthier,"Pointe-aux-Trembles, QC",Canada,,,,,
1223,Vladislav Gavrikov,Yaroslavl,Russia,,,,,
1224,Glenn Gawdin,"Richmond, BC",Canada,,,,,
1225,Luke Gazdic,"Toronto, ON",USA,,,,,
1226,Morgan Geekie,"Strathclair, MB",Canada,,,,,
1227,Nathan Gerbe,"Oxford, MI",USA,,,,,
1228,Shane Gersich,"Chaska, MN",USA,,,,,
1229,Jon Gillies,"Concord, NH",USA,,,,,
1230,Cody Glass,"Winnipeg, MB",Canada,,,,,
1231,Josh Gorges,"Kelowna, BC",Canada,,,,,
1232,Petter Granberg,Gallivare,Sweden,,,,,
1233,Tyler Graovac,"Brampton, ON",Canada,,,,,
1234,Noah Gregor,"Beaumont, AB",Canada,,,,,
1235,Alexandre Grenier,"Laval, QC",Canada,,,,,
1236,Seth Griffith,"Wallaceburg, ON",Canada,,,,,
1237,Mikhail Grigorenko,Khabarovsk,Russia,,,,,
1238,Troy Grosenick,"Brookfield, WI",USA,,,,,
1239,Jordan Gross,"Maple Grove, MN",USA,,,,,
1240,Kristers Gudlevskis,Aizkraukle,Latvia,,,,,
1241,Nikita Gusev,Moscow,Russia,,,,,
1242,David Gust,"Orland Park, IL",USA,,,,,
1243,David Gustafsson,Tingsryd,Sweden,,,,,
1244,Filip Gustavsson,"Skelleftea, Sweden",Sweden,,,,,
1245,Jonas Gustavsson,Danderyd,Sweden,,,,,
1246,Gaetan Haas,Bonfol,Switzerland,,,,,
1247,Brandon Hagel,"Saskatoon, SK",Canada,,,,,
1248,Jani Hakanpaa,Kirkkonummi,Finland,,,,,
1249,Jayden Halbgewachs,"Emerald Park, SK",Canada,,,,,
1250,Wacey Hamilton,"Cochrane, AB",Canada,,,,,
1251,Andrew Hammond,"Surrey, BC",Canada,,,,,
1252,Jansen Harkins,"Cleveland, OH",USA,,,,,
1253,Scott Hartnell,"Regina, SK",Canada,,,,,
1254,Barrett Hayton,"Peterborough, ON",Canada,,,,,
1255,Josh Healey,"Edmonton, AB",Canada,,,,,
1256,Ville Heinola,Honkajoki,Finland,,,,,
1257,Seth Helgeson,"Faribault, MN",USA,,,,,
1258,Magnus Hellberg,Uppsala,Sweden,,,,,
1259,Brandon Hickey,"Leduc, AB",Canada,,,,,
1260,Matthew Highmore,"Halifax, NS",Canada,,,,,
1261,Blake Hillman,"Elk River, MN",USA,,,,,
1262,Connor Hobbs,"Regina, SK",Canada,,,,,
1263,Patrick Holland,"Lethbridge, AB",Canada,,,,,
1264,Mac Hollowell,"Niagara Falls, ON",Canada,,,,,
1265,Cameron Hughes,"Edmonton, AB",Canada,,,,,
1266,Jack Hughes,"Orlando, FL",USA,,,,,
1267,Bokondji Imama,"Montreal, QC",Canada,,,,,
1268,Connor Ingram,"Imperial, SK",Canada,,,,,
1269,Doug Janik,"Agawam, MA",USA,,,,,
1270,Tanner Jeannot,"Oxbow, SK",Canada,,,,,
1271,Nicklas Jensen,Herning,Denmark,,,,,
1272,Lucas Johansen,"Vancouver, BC",Canada,,,,,
1273,Jonas Johansson,,,,,,,
1274,Stephen Johns,"Ellwood City, PA",USA,,,,,
1275,Ryan Johnson,"Thunder Bay, ON",Canada,,,,,
1276,Ben Jones,"Waterloo, ON",Canada,,,,,
1277,Connor Jones,"Montrose, BC",Canada,,,,,
1278,Max Jones,"Rochester, MI",USA,,,,,
1279,Axel Jonsson-Fjallby,Stockholm,Sweden,,,,,
1280,Pierre-Olivier Joseph,"Laval, QC",USA,,,,,
1281,Tomas Jurco,Kosice,Slovakia,,,,,
1282,Kaapo Kahkonen,Helsinki,Finland,,,,,
1283,Kaapo Kakko,Turku,Finland,,,,,
1284,Erik Kallgren,Stockholm,Sweden,,,,,
1285,Keegan Kanzig,"Athabasca, AB",USA,,,,,
1286,Erik Karlsson,Lerum,Sweden,,,,,
1287,Pavel Karnaukhov,Minsk,Belarus,,,,,
1288,Jason Kasdorf,"Winnipeg, MB",Canada,,,,,
1289,David Kase,Kadan,Czech Republic,,,,,
1290,Kasimir Kaskisuo,Vantaa,Finland,,,,,
1291,Joey Keane,"Chicago, IL",USA,,,,,
1292,Bracken Kearns,"North Vancouver, BC",Canada,,,,,
1293,Joel Kellman,Karlskrona,Sweden,,,,,
1294,Parker Kelly,"Camrose, AB",Canada,,,,,
1295,Tanner Kero,"Hancock, MI",USA,,,,,
1296,Alex Khokhlachev,Moscow,Russia,,,,,
1297,Jake Kielly,"Eden Prairie, MN",USA,,,,,
1298,Jason King,"Corner Brook, NL",Canada,,,,,
1299,Teemu Kivihalme,"Cloquet, MN",USA,,,,,
1300,Joel Kiviranta,Vantaa,Finland,,,,,
1301,Matiss Kivlenieks,Riga,Latvia,,,,,
1302,Kevin Klein,"Kitchener, ON",Canada,,,,,
1303,Morgan Klimchuk,"Regina, SK",Canada,,,,,
1304,Carl Klingberg,Gothenburg,Sweden,,,,,
1305,Eric Knodel,"West Chester, PA",USA,,,,,
1306,Nikolai Knyzhov,Kemerovo,Russia,,,,,
1307,Otto Koivula,Nokia,Finland,,,,,
1308,Joona Koppanen,Tampere,Finland,,,,,
1309,Josef Korenar,Pelhrimov,Czech Republic,,,,,
1310,Egor Korshkov,Novosibirsk,Russia,,,,,
1311,Klim Kostin,Penza,Russia,,,,,
1312,Johnathan Kovacevic,"Grimsby, ON",Canada,,,,,
1313,Vitali Kravtsov,Vladivostok,Russia,,,,,
1314,Dominik Kubalik,Plzen,Czech Republic,,,,,
1315,Rasmus Kupari,Kotka,Finland,,,,,
1316,Pierre-Cedric Labrie,"Baie-Comeau, QC",Canada,,,,,
1317,Cedric Lacroix,"Shefford, QC",Canada,,,,,
1318,Sam Lafferty,"Hollidaysburg, PA",USA,,,,,
1319,William Lagesson,Gothenberg,Sweden,,,,,
1320,Brooks Laich,"Wawota, SK",Canada,,,,,
1321,Tristin Langan,"Swan River, MB",Canada,,,,,
1322,Marek Langhamer,Moravska Trebova,Czech Republic,,,,,
1323,Kevin Lankinen,Helsinki,Finland,,,,,
1324,Michael Latta,"Kitchener, ON",Canada,,,,,
1325,Jakub Lauko,Praha,Czech Republic,,,,,
1326,Jay Leach,"Syracuse, NY",USA,,,,,
1327,Taylor Leier,"Saskatoon, SK",Canada,,,,,
1328,Brett Lernout,"Winnipeg, MB",Canada,,,,,
1329,Otto Leskinen,Pieksamaki,Finland,,,,,
1330,Maxim Letunov,Moscow,Russia,,,,,
1331,Mike Liambas,"Toronto, ON",Canada,,,,,
1332,Jakob Lilja,Malmo,Sweden,,,,,
1333,Timothy Liljegren,Kristianstad,Sweden,,,,,
1334,Tobias Lindberg,Stockholm,Sweden,,,,,
1335,Petteri Lindbohm,Helsinki,Finland,,,,,
1336,Jesper Lindgren,Umea,Sweden,,,,,
1337,Gustav Lindstrom,,,,,,,
1338,Viktor Loov,Sodertalje,Sweden,,,,,
1339,Steven Lorentz,"Waterloo, ON",Canada,,,,,
1340,Keegan Lowe,"Edmonton, AB",USA,,,,,
1341,Jake Lucchini,"Trail, BC",Canada,,,,,
1342,Aaron Luchuk,"Kingston, ON",Canada,,,,,
1343,Mario Lucia,"Fairbanks, AK",USA,,,,,
1344,Eetu Luostarinen,Siilinjarvi,Finland,,,,,
1345,Joona Luoto,Tampere,Finland,,,,,
1346,Roman Lyubimov,Tver,Russia,,,,,
1347,Ryan MacInnis,"St. Louis, MO",USA,,,,,
1348,Gregor MacLeod,"Dartmouth, NS",Canada,,,,,
1349,Cale Makar,"Calgary, AB",Canada,,,,,
1350,Beck Malenstyn,"Delta, BC",Canada,,,,,
1351,Sean Malone,"West Seneca, NY",USA,,,,,
1352,Mason Marchment,"Uxbridge, ON",Canada,,,,,
1353,John Marino,"North Easton, MA",USA,,,,,
1354,Andrey Markov,Kazan,Russia,,,,,
1355,Spencer Martin,"Oakville, ON",Canada,,,,,
1356,Adam Mascherin,"Maple, ON",Canada,,,,,
1357,Stefan Matteau,"Chicago, IL",USA,,,,,
1358,Gerald Mayhew,"Wyandotte, MI",USA,,,,,
1359,Gerry Mayhew,"Wyandotte, MI",USA,,,,,
1360,Josh McArdle,"Roscoe, IL",USA,,,,,
1361,Michael McCarron,"Grosse Pointe, MI",USA,,,,,
1362,John McCarthy,"Boston, MA",USA,,,,,
1363,Colin McDonald,"Wethersfield, CT",USA,,,,,
1364,Evan McEneny,"Hamilton, ON",Canada,,,,,
1365,Tim McGauley,"Wilcox, SK",Canada,,,,,
1366,Curtis McKenzie,"Golden, BC",Canada,,,,,
1367,Roland McKeown,"Listowel, ON",Canada,,,,,
1368,Mitch McLain,"Baxter, MN",USA,,,,,
1369,Dylan McLaughlin,"Lancaster, NY",USA,,,,,
1370,Ryan McLeod,"Mississauga, ON",Canada,,,,,
1371,Mark McNeill,"Langley, BC",Canada,,,,,
1372,Michael McNiven,"Georgetown, ON",Canada,,,,,
1373,Jayson Megna,"Fort Lauderdale, FL",USA,,,,,
1374,Julian Melchiori,"Richmond Hill, ON",Canada,,,,,
1375,Nicolas Meloche,"LaSalle, QC",Canada,,,,,
1376,Brennan Menell,"Woodbury, MN",USA,,,,,
1377,Michael Mersch,"Park Ridge, IL",USA,,,,,
1378,Elvis Merzlikins,Riga,Latvia,,,,,
1379,Garrett Metcalf,"Salt Lake City, UT",USA,,,,,
1380,Keaton Middleton,"Stratford, ON",Canada,,,,,
1381,Ilya Mikheyev,Omsk,Russia,,,,,
1382,Niko Mikkola,Kiiminki,Finland,,,,,
1383,Andrew Miller,"Bloomfield Hills, MI",USA,,,,,
1384,Drew Miller,"Dover, NJ",USA,,,,,
1385,Griffen Molino,"Trenton, MI",USA,,,,,
1386,Matt Moulson,"North York, ON",Canada,,,,,
1387,Vojtech Mozik,Prague,Czech Republic,,,,,
1388,Chris Mueller,"West Seneca, NY",USA,,,,,
1389,Trevor Murphy,"Windsor, ON",Canada,,,,,
1390,Aaron Ness,"Roseau, MN",USA,,,,,
1391,Scott Nichol,"Edmonton, AB",Canada,,,,,
1392,Cristopher Nihlstorp,Malmö,Sweden,,,,,
1393,Josh Norris,"Oxford, MI",USA,,,,,
1394,Joakim Nygard,Stockholm,Sweden,,,,,
1395,Liam O'Brien,"Halifax, NS",Canada,,,,,
1396,Matt O'Connor,"Sault Ste. Marie, ON",Canada,,,,,
1397,Jake Oettinger,"Lakeville, MN",USA,,,,,
1398,Rob O'Gara,"Massapequa, NY",USA,,,,,
1399,Steve Oleksy,"Chesterfield, MI",USA,,,,,
1400,Mathieu Olivier,"Levis, QC",USA,,,,,
1401,Gustav Olofsson,Boras,Sweden,,,,,
1402,Ryan Olsen,"Delta, BC",Canada,,,,,
1403,Cal O'Reilly,"Toronto, ON",Canada,,,,,
1404,Nathan Paetsch,"Leroy, SK",Canada,,,,,
1405,Ryan Parent,"Prince Albert, SK",Canada,,,,,
1406,Chase Pearson,"Alpharetta, GA",USA,,,,,
1407,Andrew Peeke,"Parkland, FL",USA,,,,,
1408,Francis Perron,"Laval, QC",Canada,,,,,
1409,Toby Petersen,"Minneapolis, MN",USA,,,,,
1410,Andre Petersson,Olofstrom,Sweden,,,,,
1411,Matthew Phillips,"Calgary, AB",Canada,,,,,
1412,Garrett Pilon,"Mineola, NY",USA,,,,,
1413,Brian Pinho,"North Andover, MA",USA,,,,,
1414,Austin Poganski,"St. Cloud, MN",USA,,,,,
1415,Emile Poirier,"Montreal, QC",Canada,,,,,
1416,Tucker Poolman,"Dubuque, IA",USA,,,,,
1417,David Pope,"Edmonton, AB",Canada,,,,,
1418,Kevin Porter,"Detroit, MI",USA,,,,,
1419,Andrew Poturalski,"Williamsville, NY",USA,,,,,
1420,Kevin Poulin,"Montreal, QC",Canada,,,,,
1421,Benoit Pouliot,"Alfred, ON",Canada,,,,,
1422,Daniel Pribyl,Pisek,Czechoslovakia,,,,,
1423,Cayden Primeau,"Voorhees, NJ",USA,,,,,
1424,Chase Priskie,"Pembroke Pines, FL",USA,,,,,
1425,Nikolai Prokhorkin,Chelyabinsk,Russia,,,,,
1426,Ivan Prosvetov,Moskva,Russia,,,,,
1427,Ethan Prow,"Sauk Rapids, MN",USA,,,,,
1428,Cliff Pu,"Richmond Hill, ON",Canada,,,,,
1429,Teemu Pulkkinen,Vantaa,Finland,,,,,
1430,David Quenneville,"Edmonton, AB",Canada,,,,,
1431,Gage Quinney,"Las Vegas, NV",USA,,,,,
1432,Taylor Raddysh,"Caledon, ON",Canada,,,,,
1433,John Ramage,"Mississauga, ON",Canada,,,,,
