,Name,Birth City,Birth Country,Birth Lat,Birth Lng,College,College Lat,College Lng
209,Michael Dal Colle,"Woodbridge, ON",Canada,,,,,
210,Trevor Daley,"Toronto, ON",Canada,,,,,
211,Zac Dalpe,"Paris, ON",Canada,,,,,
212,Phillip Danault,"Victoriaville, QC",Canada,,,,,
213,Marko Dano,Eisenstadt,Austria,,,,,
214,Scott Darling,"Newport News, VA",USA,,,,,
215,Laurent Dauphin,"Repentigny, QC",Canada,,,,,
216,Brandon Davidson,"Taber, AB",Canada,,,,,
217,Jean-Sebastien Dea,"La Prairie, QC",Canada,,,,,
218,Jean-Sebastien Dea,"La Prairie, QC",Canada,,,,,
219,Tony DeAngelo,"Sewell, NJ",USA,,,,,
220,Alex DeBrincat,"Farmington Hills, MI",USA,,,,,
221,Jake DeBrusk,"Edmonton, AB",Canada,,,,,
222,Calvin de Haan,"Carp, ON",Canada,,,,,
223,Danny DeKeyser,"Detroit, MI",USA,,,,,
224,Jacob de la Rose,Arvika,Sweden,,,,,
225,Chase De Leo,"La Mirada, CA",USA,,,,,
226,Collin Delia,"Rancho Cucamonga, CA",USA,,,,,
227,Aaron Dell,"Airdrie, AB",Canada,,,,,
228,Michael Del Zotto,"Stouffville, ON",Canada,,,,,
229,Michael Del Zotto,"Stouffville, ON",Canada,,,,,
230,Michael Del Zotto,"Stouffville, ON",Canada,,,,,
231,Dylan DeMelo,"London, ON",Canada,,,,,
232,Jason Demers,"Dorval, QC",Canada,,,,,
233,Thatcher Demko,"San Diego, CA",USA,,,,,
234,Travis Dermott,"Newmarket, ON",Canada,,,,,
235,Nicolas Deslauriers,"LaSalle, QC",Canada,,,,,
236,Casey DeSmith,"Rochester, NH",USA,,,,,
237,Jason Dickinson,"Georgetown, ON",Canada,,,,,
238,Phillip Di Giuseppe,"Toronto, ON",Canada,,,,,
239,Phillip Di Giuseppe,"Toronto, ON",Canada,,,,,
240,Brenden Dillon,"New Westminster, BC",Canada,,,,,
241,Michael DiPietro,"Windsor, ON",Canada,,,,,
242,Christian Djoos,Gothenburg,Sweden,,,,,
243,Max Domi,"Winnipeg, MB",Canada,,,,,
244,Louis Domingue,"St-Hyacinthe, QC",Canada,,,,,
245,Ryan Donato,"Boston, MA",USA,,,,,
246,Ryan Donato,"Boston, MA",USA,,,,,
247,Matt Donovan,"Edmond, OK",USA,,,,,
248,Joonas Donskoi,Raahe,Finland,,,,,
249,Jake Dotchin,"Cambridge, ON",USA,,,,,
250,Drew Doughty,"London, ON",Canada,,,,,
251,Nic Dowd,"Huntsville, AL",USA,,,,,
252,Justin Dowling,"Calgary, AB",Canada,,,,,
253,Leon Draisaitl,Cologne,Germany,,,,,
254,Sheldon Dries,"Macomb, MI",USA,,,,,
255,Jonathan Drouin,"Ste-Agathe, QC",Canada,,,,,
256,Dillon Dube,"Golden, BC",Canada,,,,,
257,Brandon Dubinsky,"Anchorage, AK",USA,,,,,
258,Devan Dubnyk,"Regina, SK",Canada,,,,,
259,Pierre-Luc Dubois,"Ste-Agathe-des-Monts, QC",Canada,,,,,
260,Matt Duchene,"Haliburton, ON",Canada,,,,,
261,Matt Duchene,"Haliburton, ON",Canada,,,,,
262,Anthony Duclair,"Pointe-Claire, QC",Canada,,,,,
263,Anthony Duclair,"Pointe-Claire, QC",Canada,,,,,
264,Matt Dumba,"Regina, SK",Canada,,,,,
265,Brian Dumoulin,"Biddeford, ME",USA,,,,,
266,Vince Dunn,"Mississauga, ON",Canada,,,,,
267,Christian Dvorak,"Palos, IL",USA,,,,,
268,Ryan Dzingel,"Wheaton, IL",USA,,,,,
269,Ryan Dzingel,"Wheaton, IL",USA,,,,,
270,Cody Eakin,"Winnipeg, MB",Canada,,,,,
271,Patrick Eaves,"Calgary, AB",Canada,,,,,
272,Jordan Eberle,"Regina, SK",Canada,,,,,
273,Alexander Edler,Ostersund,Sweden,,,,,
274,Joel Edmundson,"Brandon, MB",Canada,,,,,
275,Nikolaj Ehlers,Aalborg,Denmark,,,,,
276,Christoffer Ehn,Skara,Sweden,,,,,
277,Jack Eichel,"North Chelmsford, MA",USA,,,,,
278,Aaron Ekblad,"Windsor, ON",Canada,,,,,
279,Mattias Ekholm,Borlange,Sweden,,,,,
280,Oliver Ekman-Larsson,Karlskrona,Sweden,,,,,
281,Remi Elie,"Cornwall, ON",Canada,,,,,
282,Lars Eller,Rodovre,Denmark,,,,,
283,Brian Elliott,"Newmarket, ON",Canada,,,,,
284,Stefan Elliott,"Vancouver, BC",Canada,,,,,
285,Ryan Ellis,"Hamilton, ON",Canada,,,,,
286,Deryk Engelland,"Edmonton, AB",Canada,,,,,
287,Andreas Englund,Stockholm,Sweden,,,,,
