,name,college,lat,lng
279,Whitey Bell,North Carolina State University,35.7846633,-78.6820946
280,Walt Bellamy,Indiana University,39.1754487,-86.512627
281,DeAndre' Bembry,Saint Joseph's University,39.9951217,-75.23993279999999
282,Irv Bemoras,University of Illinois at Urbana-Champaign,40.1019523,-88.2271615
283,Leon Benbow,Jacksonville University,30.3530584,-81.6066798
286,Jerrelle Benimon,Towson University,39.3925121,-76.61263919999999
287,Benoit Benjamin,Creighton University,41.2655521,-95.94638619999999
288,Corey Benjamin,Oregon State University,44.5637806,-123.2794443
289,Anthony Bennett,"University of Nevada, Las Vegas",36.1085197,-115.1431709
290,Elmer Bennett,University of Notre Dame,41.7055716,-86.2353388
291,Mario Bennett,Arizona State University,33.4242399,-111.9280527
292,Mel Bennett,University of Pittsburgh,40.4443533,-79.960835
293,Spider Bennett,Winston-Salem State University,36.0891924,-80.22530739999999
294,Tony Bennett,University of Wisconsin-Green Bay,44.531177,-87.9210686
295,Winston Bennett,University of Kentucky,38.0306511,-84.5039697
296,David Benoit,University of Alabama,33.2140233,-87.5391418
297,Keith Benson,Oakland University,42.6679486,-83.2081632
298,Kent Benson,Indiana University,39.1754487,-86.512627
299,Ben Bentil,Providence College,41.8440925,-71.4381653
300,Gene Berce,Marquette University,43.0388337,-87.92856669999999
301,Gary Bergen,University of Utah,40.7649368,-111.8421021
302,Larry Bergh,Weber State University,41.19246820000001,-111.9444959
303,Ricky Berry,San Jose State University,37.3351874,-121.8810715
304,Walter Berry,St. John's University,40.7220627,-73.79421119999999
306,Del Beshore,California University of Pennslyvania,40.063294,-79.8824041
307,Travis Best,Georgia Institute of Technology,33.7756178,-84.39628499999999
308,Patrick Beverley,University of Arkansas,36.0686895,-94.1748471
309,Sim Bhullar,New Mexico State University,32.2787745,-106.7479059
310,Wesley Bialosuknia,University of Connecticut,41.8077414,-72.2539805
311,Al Bianchi,Bowling Green State University,41.3797788,-83.6300826
312,Hank Biasatti,Long Island University,40.6912319,-73.98106589999999
313,Henry Bibby,"University of California, Los Angeles",34.068921,-118.4451811
314,Mike Bibby,University of Arizona,32.2318851,-110.9501094
315,Ed Biedenbach,North Carolina State University,35.7846633,-78.6820946
317,Don Bielke,Valparaiso University,41.46394,-87.0438813
318,Bob Bigelow,University of Pennsylvania,39.9522188,-75.1932137
319,Lionel Billingy,Duquesne University,40.4367914,-79.989232
320,Chauncey Billups,University of Colorado,40.00758099999999,-105.2659417
321,Dave Bing,Syracuse University,43.0391534,-76.1351158
322,Joe Binion,North Carolina Agricultural and Technical State University,36.0770034,-79.7718199
323,Khem Birch,"University of Nevada, Las Vegas",36.1085197,-115.1431709
324,Jabari Bird,University of California,37.8718992,-122.2585399
325,Jerry Bird,University of Kentucky,38.0306511,-84.5039697
326,Larry Bird,Indiana State University,39.4714449,-87.40827519999999
327,Otis Birdsong,University of Houston,29.7199489,-95.3422334
328,Gale Bishop,Washington State University,46.7319225,-117.1542121
331,Uwe Blab,Indiana University,39.1754487,-86.512627
332,Charlie Black,University of Kansas,38.9543439,-95.2557961
333,Norman Black,Saint Joseph's University,39.9951217,-75.23993279999999
334,Tarik Black,University of Kansas,38.9543439,-95.2557961
335,Tom Black,South Dakota State University,44.319242,-96.7834503
336,Rolando Blackman,Kansas State University,39.1974437,-96.5847249
337,Alex Blackwell,Monmouth University,40.2802758,-74.0054114
338,Cory Blackwell,University of Wisconsin,43.076592,-89.4124875
339,James Blackwell,Dartmouth College,43.7044406,-72.2886935
340,Nate Blackwell,Temple University,39.9805942,-75.1557376
341,DeJuan Blair,University of Pittsburgh,40.4443533,-79.960835
342,Steve Blake,University of Maryland,38.9869183,-76.9425543
343,Antonio Blakeney,Louisiana State University,30.4132579,-91.1800023
344,Will Blalock,Iowa State University,42.0266187,-93.6464654
345,George Blaney,College of the Holy Cross,42.2392391,-71.8079608
346,Lance Blanks,University of Texas at Austin,30.2849185,-97.7340567
347,Ricky Blanton,Louisiana State University,30.4132579,-91.1800023
349,Mookie Blaylock,University of Oklahoma,35.2058936,-97.4457137
350,Eric Bledsoe,University of Kentucky,38.0306511,-84.5039697
351,Leon Blevins,University of Arizona,32.2318851,-110.9501094
352,John Block,University of Southern California,34.0223519,-118.285117
353,Mike Bloom,Temple University,39.9805942,-75.1557376
354,Corie Blount,University of Cincinnati,39.1329219,-84.51495039999999
355,Mark Blount,University of Pittsburgh,40.4443533,-79.960835
356,Vander Blue,Marquette University,43.0388337,-87.92856669999999
357,Ray Blume,Oregon State University,44.5637806,-123.2794443
358,Nelson Bobb,Temple University,39.9805942,-75.1557376
359,Tony Bobbitt,University of Cincinnati,39.1329219,-84.51495039999999
360,Bucky Bockhorn,University of Dayton,39.7393,-84.17996749999999
361,Tom Boerwinkle,University of Tennessee,35.9544013,-83.92945639999999
362,Keith Bogans,University of Kentucky,38.0306511,-84.5039697
365,Muggsy Bogues,Wake Forest University,36.1355052,-80.2791958
366,Andrew Bogut,University of Utah,40.7649368,-111.8421021
